Id,Value,Date
Sistema,46685300.0,2015-12-27
Sistema,50068500.0,2015-12-28
Sistema,49963700.0,2015-12-29
Sistema,52488500.0,2015-12-30
Sistema,60080700.0,2015-12-31
Sistema,110591900.0,2015-11-27
Sistema,100262500.0,2015-11-28
Sistema,92186100.0,2015-11-29
Sistema,100634800.0,2015-11-30
Sistema,101300700.0,2015-12-01
Sistema,85251200.0,2015-12-02
Sistema,103717700.0,2015-12-03
Sistema,150994700.0,2015-12-04
Sistema,113007000.0,2015-12-05
Sistema,103469300.0,2015-12-06
Sistema,79830600.0,2015-12-07
Sistema,77463700.0,2015-12-08
Sistema,74951800.0,2015-12-09
Sistema,81365600.0,2015-12-10
Sistema,68619700.0,2015-12-11
Sistema,64359800.0,2015-12-12
Sistema,59705900.0,2015-12-13
Sistema,66715200.0,2015-12-14
Sistema,79295900.0,2015-12-15
Sistema,72914900.0,2015-12-16
Sistema,90540200.0,2015-12-17
Sistema,85102500.0,2015-12-18
Sistema,92825700.0,2015-12-19
Sistema,72876400.0,2015-12-20
Sistema,65812000.0,2015-12-21
Sistema,59530400.0,2015-12-22
Sistema,56954000.0,2015-12-23
Sistema,56427300.0,2015-12-24
Sistema,58402800.0,2015-12-25
Sistema,53911100.0,2015-12-26
Sistema,88038400.0,2015-10-28
Sistema,94778700.0,2015-10-29
Sistema,95136700.0,2015-10-30
Sistema,79092700.0,2015-10-31
Sistema,117961200.0,2015-11-01
Sistema,135306700.0,2015-11-02
Sistema,94030500.0,2015-11-03
Sistema,118170200.0,2015-11-04
Sistema,169316000.0,2015-11-05
Sistema,178009000.0,2015-11-06
Sistema,201556200.0,2015-11-07
Sistema,174690500.0,2015-11-08
Sistema,130712100.0,2015-11-09
Sistema,187076200.0,2015-11-10
Sistema,119484100.0,2015-11-11
Sistema,98627500.0,2015-11-12
Sistema,83850800.0,2015-11-13
Sistema,91693500.0,2015-11-14
Sistema,133541300.0,2015-11-15
Sistema,104609500.0,2015-11-16
Sistema,145771300.0,2015-11-17
Sistema,136924600.0,2015-11-18
Sistema,123891500.0,2015-11-19
Sistema,139544400.0,2015-11-20
Sistema,136506800.0,2015-11-21
Sistema,131889100.0,2015-11-22
Sistema,136625300.0,2015-11-23
Sistema,115923700.0,2015-11-24
Sistema,129066800.0,2015-11-25
Sistema,102865700.0,2015-11-26
Sistema,62757100.0,2015-09-28
Sistema,70961600.0,2015-09-29
Sistema,77565500.0,2015-09-30
Sistema,69590700.0,2015-10-01
Sistema,80785000.0,2015-10-02
Sistema,117405300.0,2015-10-03
Sistema,82203000.0,2015-10-04
Sistema,83325300.0,2015-10-05
Sistema,67007300.0,2015-10-06
Sistema,77681000.0,2015-10-07
Sistema,95323500.0,2015-10-08
Sistema,97909900.0,2015-10-09
Sistema,72267300.0,2015-10-10
Sistema,140259800.0,2015-10-11
Sistema,89441900.0,2015-10-12
Sistema,126518600.0,2015-10-13
Sistema,127661400.0,2015-10-14
Sistema,183840900.0,2015-10-15
Sistema,162056400.0,2015-10-16
Sistema,111655200.0,2015-10-17
