Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,1836236.42,1752624.54,1687164.72,1636736.05,1681541.48,1927493.22,2066024.79,2221952.03,2429393.08,2372498.41,2300095.89,2350573.99,2397213.37,2361169.11,2357465.98,2325783.91,2280504.71,2317902.16,2631894.81,2649542.93,2582275.88,2561479.53,2247254.73,2355626.77,2010-12-27
Sistema,Sistema,2012999.54,1863467.92,1765883.63,1731798.19,1762304.02,1991171.42,2116861.89,2195903.0,2056343.31,2227643.11,2342626.19,2418473.66,2446299.67,2414182.16,2409165.93,2378386.71,2307529.47,2302284.48,2740601.44,2833993.13,2479456.01,2527773.59,2414042.22,2330921.14,2010-12-28
Sistema,Sistema,2064441.18,1930467.75,1861431.31,1817971.62,1828014.66,2076003.08,2216948.25,2244247.86,2523955.61,2472646.44,2349750.67,2290561.03,2341666.05,2382567.86,2362848.47,2387641.87,2394823.44,2282089.53,2821364.04,2827465.18,2603514.71,2587948.92,2543851.79,2340596.07,2010-12-29
Sistema,Sistema,2226856.97,2099710.3,2003181.11,1935685.77,1978298.84,2239934.27,2314461.42,2122986.84,2178076.1,2324534.49,2458387.44,2528076.13,2555264.02,2510811.09,2488288.17,2464212.48,2341780.6,2334689.06,2573581.08,2662639.97,2588800.53,2632380.03,2710750.83,2467622.31,2010-12-30
Sistema,Sistema,2467494.23,2265168.22,2123123.88,2037669.41,2014621.44,2211722.18,2256917.66,2374634.54,2300722.15,2229586.43,2172713.59,2214848.11,2218700.28,2227482.02,2345634.13,2407981.12,2429398.5,2347038.34,2599200.44,2473864.58,2600491.56,2610199.85,2740050.39,2947035.13,2010-12-31
Sistema,Sistema,2058828.81,2081683.47,2058983.4,2061115.73,2073432.44,2124626.22,2226486.32,2477102.68,2380328.28,2407335.65,2498338.73,2583897.33,2540270.49,2467936.74,2460150.68,2458660.73,2515134.24,2700716.66,2738691.23,2624947.02,2674670.87,2510251.42,2363288.08,2339487.62,2010-11-27
Sistema,Sistema,1772258.15,1842304.34,1848278.52,1887206.26,1881269.87,1898348.03,2000784.12,1899127.68,1955585.48,1999871.99,2078821.32,2069658.62,2143108.18,2149466.92,2135412.48,2145520.3,2190166.38,2346190.83,2251709.88,2230280.32,2121359.85,2374363.62,2140455.35,1966777.39,2010-11-28
Sistema,Sistema,1694237.15,1657888.77,1628137.16,1628283.26,1735888.72,1962534.17,1933771.88,1946733.52,2203456.0,2363766.58,2283670.34,2226256.07,2423797.4,2435133.39,2466373.64,2399910.87,2379665.85,2251965.11,2370582.33,2304872.25,2318443.36,2433079.32,2070790.52,2031121.06,2010-11-29
Sistema,Sistema,1927332.69,1917824.24,1888877.92,1875086.33,1976391.53,2247315.64,2276383.59,2175068.14,2409078.77,2401854.31,2477967.92,2552696.29,2499139.39,2481177.77,2592212.74,2608882.98,2630523.84,2842495.66,2555486.16,2364832.7,2565411.45,2663176.35,2430711.29,2304457.13,2010-11-30
Sistema,Sistema,2139135.81,2021844.95,1914484.58,1863682.66,1925536.21,2176960.06,2059164.67,1962164.17,2158890.14,2272856.02,2393402.6,2498068.87,2319340.32,2357365.49,2471456.71,2488138.06,2508135.44,2623667.53,2622820.01,2473590.18,2280889.77,2369487.91,1984252.63,2071476.22,2010-12-01
Sistema,Sistema,2021472.0,2012433.25,1952017.34,1935351.73,1913940.81,1897987.0,2142874.99,2379133.13,2236505.95,2191816.24,2290950.2,2343689.64,2354119.99,2213703.11,2257000.32,2330362.09,2392437.94,2536906.41,2640987.77,2484065.8,2249927.42,2274066.08,2193886.5,2080929.47,2010-12-02
Sistema,Sistema,1948552.38,1887208.43,1822526.87,1820379.52,1767931.74,2000286.2,2215436.57,2197972.29,2400281.6,2507625.17,2462358.75,2378606.19,2391680.0,2433298.99,2424621.36,2428535.53,2466543.19,2350067.49,2345930.42,2134754.51,2156113.79,2071303.59,2246835.15,1966269.82,2010-12-03
Sistema,Sistema,1511014.64,1333744.47,1276054.54,1174351.57,1247044.31,1496304.63,1656599.97,2057793.57,2258160.06,2466985.0,2643498.18,2692060.72,2551538.89,2576126.53,2372290.84,2316931.03,2361048.03,2348248.62,2442278.52,2308003.94,2311905.62,2213993.73,2400564.49,2116780.51,2010-12-04
Sistema,Sistema,2302382.15,2258387.4,2228843.74,2236521.12,2264419.56,2245418.95,2336818.34,2259308.16,2209029.05,2287690.96,2424334.25,2516320.4,2464583.76,2460495.42,2384168.43,2298196.37,2256283.08,2418940.43,2307812.09,2314806.48,2248707.83,2413913.8,2482885.86,2100652.91,2010-12-05
Sistema,Sistema,2130379.95,1991837.53,1905580.34,1889375.49,2047390.06,2477414.1,2507986.49,2388951.27,2290992.41,2249884.02,2247089.92,2302221.06,2264269.21,2286147.63,2342442.41,2289086.81,2262876.47,2360404.75,2712939.31,2661542.88,2503706.03,2572141.09,2386945.2,2615434.39,2010-12-06
Sistema,Sistema,2001207.15,1936771.02,1859860.36,1880906.71,2055375.81,2418864.9,2488884.63,2443841.54,2284280.7,2365687.38,2374050.56,2433811.59,2329714.1,2313602.48,2359312.4,2353555.34,2303685.87,2412817.75,2651016.42,2358604.89,2402002.51,2233129.09,2553870.27,2456666.99,2010-12-07
Sistema,Sistema,2070562.25,1873116.85,1761340.35,1721790.37,1726940.68,1757893.38,1651566.02,1820681.29,2041810.53,2075099.65,2026917.81,2152169.35,2245564.85,2234860.35,2144230.21,2115048.61,2062067.63,2323657.86,2458419.81,2402811.72,2252972.07,2209154.49,2381949.09,2004610.57,2010-12-08
Sistema,Sistema,1792710.89,1669366.74,1596428.41,1569113.54,1658033.89,1873322.68,1875394.58,1892358.29,2107840.98,2385918.48,2370761.77,2400629.29,2382545.39,2500673.57,2505043.4,2506608.12,2412022.15,2491705.58,2894206.87,2812804.13,2686845.9,2453204.75,2307423.57,2147511.36,2010-12-09
Sistema,Sistema,2381185.72,2293793.5,2196871.68,2205452.91,2099447.64,2392291.99,2249548.46,2275499.21,2433248.45,2381826.94,2408549.41,2453278.61,2362219.5,2338484.78,2308739.22,2345758.68,2394944.87,2501352.15,2753568.93,2634381.1,2511385.63,2519976.92,2459206.01,2650295.76,2010-12-10
Sistema,Sistema,1955934.58,1882184.15,1813487.5,1811295.17,1833553.4,1979321.66,1971118.85,2194272.31,2448739.2,2346422.22,2248659.63,2294096.33,2219359.34,2206648.43,2294999.73,2318185.73,2330601.18,2195103.42,2582790.94,2534175.64,2439949.68,2391179.03,2308211.6,2276330.8,2010-12-11
Sistema,Sistema,2029338.86,2073199.47,2073831.64,2098599.18,2079244.95,2051544.02,2115656.66,2111157.47,1928792.32,2062186.1,2216914.13,2333078.57,2172713.92,2135089.48,2048572.77,2025129.33,1972187.6,2198043.53,2629816.19,2515603.84,2575237.9,2661120.84,2272748.7,1975952.92,2010-12-12
