Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,5645931.0,5508504.81,5428843.78,5454969.93,5657073.66,6131148.05,6310973.24,6555288.34,6885132.63,7045381.15,7164946.31,7328595.21,7244831.93,7146348.88,7179213.79,7171831.15,7170865.0,7358766.94,8513971.85,8702240.21,8392191.18,7651906.07,6888791.77,6244035.77,2010-12-27
Sistema,Sistema,5861218.95,5703331.63,5594482.71,5604191.31,5802935.16,6200182.82,6385044.88,6637059.47,6946436.18,7081154.89,7249119.66,7347625.6,7251733.76,7161359.37,7171864.53,7194169.0,7202255.11,7367912.24,8523578.13,8718103.42,8171644.76,7656174.58,6915275.1,6225235.69,2010-12-28
Sistema,Sistema,5857523.76,5686331.6,5596267.69,5614532.03,5747563.44,6186680.21,6344931.67,6587010.58,6873564.58,7054711.06,7237882.99,7359040.69,7215439.26,7129072.75,7167359.25,7141484.18,7135498.67,7325544.91,8487416.54,8694262.81,8170429.45,7654278.55,6882176.03,6187313.48,2010-12-29
Sistema,Sistema,5813702.41,5659090.22,5568038.89,5517024.06,5761901.25,6190061.16,6344688.17,6550090.3,6861774.01,7023636.89,7196250.87,7312295.15,7214160.59,7044273.14,7065414.22,7101261.16,7064953.96,7225732.36,8210750.69,8557331.14,8065304.65,7553988.15,6823662.07,6127987.04,2010-12-30
Sistema,Sistema,5714506.65,5539259.35,5449055.43,5414739.49,5623843.72,6009597.24,6126341.77,6293658.17,6579232.24,6703207.71,6822157.25,6916204.53,6769557.39,6584942.68,6570225.24,6549576.47,6525295.76,6715437.07,7683357.17,7876955.76,7573726.55,7118499.58,6420450.57,5781542.26,2010-12-31
Sistema,Sistema,6443398.61,6212401.47,6162442.12,6132156.63,6282950.81,6510899.73,6717415.95,6987632.67,7446681.79,7858871.84,7954544.88,8104129.23,8057630.11,7869291.45,7499560.53,7414201.65,7355446.87,7884873.84,8829936.65,8941203.19,8667344.9,8147412.18,7300025.54,6696634.55,2010-11-27
Sistema,Sistema,6241894.66,6074718.53,5980454.84,5897278.39,5944749.86,6014541.84,6052302.51,6260798.89,6559142.51,6778175.13,6962886.96,7020511.98,7062946.19,6991878.99,6924302.65,6838630.62,6845558.84,7135465.46,8209447.24,8447781.5,8228380.87,7671572.6,7016289.33,6491514.94,2010-11-28
Sistema,Sistema,6161644.33,5997894.93,5940479.77,5963180.87,6204976.97,6799550.51,7043105.26,7272831.96,7608449.46,7972827.06,8197186.09,8322178.58,8136466.91,7851747.25,8143219.09,8186545.04,8172101.53,8412376.19,9215145.32,9328270.67,8940779.21,8220644.86,7401274.67,6703855.54,2010-11-29
Sistema,Sistema,6250884.99,6138347.53,6068068.34,6085610.68,6309936.58,6858265.76,7113844.41,7311671.28,7654925.34,8012980.21,8187667.88,8353923.53,8199607.22,8104225.29,8140183.62,8141679.14,8206161.88,8489456.82,9323598.52,9428037.1,9049705.62,8463415.1,7478840.58,6752792.23,2010-11-30
Sistema,Sistema,5961409.47,5798770.44,5699498.57,5694661.42,5866949.47,6353628.78,6554696.21,6766029.34,7089113.6,7231872.38,7401954.44,7543012.51,7398030.93,7316140.16,7394832.2,7360072.45,7325927.91,7549468.73,8459526.15,8609257.03,8294049.46,7836718.92,7057732.6,6375654.54,2010-12-01
Sistema,Sistema,5954906.18,5725203.74,5702809.72,5674554.64,5849576.18,6302394.54,6500812.82,6724090.98,7028148.78,7162711.24,7334146.19,7437348.2,7329129.97,7207417.73,7265442.82,7263835.67,7285871.39,7469754.78,8383903.75,8540092.98,8208556.73,7734082.25,6932962.75,6281642.41,2010-12-02
Sistema,Sistema,5869292.5,5713868.54,5603767.92,5628351.97,5832590.22,6313271.73,6499669.96,6728071.75,7048551.61,7173119.0,7351994.25,7475801.33,7343231.47,7177093.94,7222956.4,7262715.0,7277270.31,7505861.65,8416745.28,8534815.57,8219220.83,7707750.37,6930914.92,6251012.07,2010-12-03
