Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,4931013.08,4881090.48,4797084.02,4796755.34,4963397.34,5112212.61,5238936.95,5691313.84,6307057.24,6738077.26,6909996.97,7126683.73,7034000.17,6933993.74,6952287.68,6881781.41,6820848.35,7044116.54,8299556.17,8445193.9,8064379.08,7511872.82,6478817.41,5727055.75,2010-12-27
Sistema,Sistema,5058115.54,4813033.76,4665666.92,4649222.58,4794808.2,5079402.35,5306734.96,5768983.99,6275157.32,6582822.63,6844514.75,6990011.78,6881267.37,6779596.41,6780181.43,6768808.64,6702384.77,6895245.51,8335296.11,8511231.46,8059727.23,7326160.87,6439287.26,5577178.1,2010-12-28
Sistema,Sistema,5110179.55,5028615.49,4748736.27,4704391.77,4924575.68,5117832.74,5380693.54,5830458.76,6234508.1,6609478.12,6902875.25,7078370.92,6953022.66,6841885.33,6863292.28,6795443.65,6690719.19,6861734.75,8214540.68,8388097.62,8050558.24,7417178.18,6470184.12,5641285.09,2010-12-29
Sistema,Sistema,5158682.4,5072452.38,4992830.99,4948694.43,5069085.41,5431149.62,5555093.98,5746404.31,6230288.11,6565768.06,6810057.04,6949508.91,6828379.72,6659250.31,6654234.08,6639603.58,6503924.84,6678107.72,8077418.37,8260386.66,8001163.51,7364460.54,6552678.81,5855078.38,2010-12-30
Sistema,Sistema,5213338.89,4868882.66,4872790.94,4883211.22,4941362.17,4898569.12,4904303.51,5237933.49,5671640.71,5911965.72,6053508.1,6117240.75,5967183.33,5733264.51,5563235.83,5504484.18,5450757.58,5708270.46,7113782.82,7364994.9,7084902.96,6661774.9,6232605.88,5802958.51,2010-12-31
Sistema,Sistema,5656527.15,5365195.45,5304151.52,5239001.29,5417047.22,5656604.51,5847471.44,6282553.22,6828574.38,7102107.5,7269364.18,7416375.55,7339643.21,7110746.71,6973958.15,6906660.74,6882976.23,7257028.77,8091909.83,7996289.24,7638339.16,7053995.62,6544959.25,5951075.44,2010-11-27
Sistema,Sistema,5459426.99,5215447.9,5091556.53,4963604.51,4975757.59,4949623.12,4796884.74,5056782.37,5371657.23,5654950.82,5862831.63,5943792.4,5992316.65,5925928.52,5914612.68,5888346.5,5971903.83,6371950.13,7399772.82,7443521.53,7224729.03,6710721.9,6149719.82,5620659.63,2010-11-28
Sistema,Sistema,5230664.33,5004116.55,4890586.44,4912675.84,5169455.84,5654505.49,6008663.98,6486135.58,6982981.67,7262052.69,7560081.12,7726217.1,7507278.33,7429632.1,7556632.29,7621803.15,7591905.4,7766022.2,8654818.37,8588868.15,8172273.01,7544520.33,6738843.21,5871676.11,2010-11-29
Sistema,Sistema,5419452.92,5259574.91,5138595.56,5131983.89,5360139.15,5805874.4,6176267.01,6636450.87,7073728.93,7334680.02,7566899.99,7740901.76,7535460.01,7451507.01,7515335.28,7527559.99,7616372.89,7934960.59,8729344.17,8620636.56,8229969.68,7651864.28,6916405.92,6073927.81,2010-11-30
Sistema,Sistema,5528525.56,5200159.66,5060183.77,5039976.97,5282991.94,5902166.1,6271774.73,6688430.81,7124176.82,7377487.44,7595258.56,7759959.8,7458588.43,7429937.49,7604943.96,7625712.92,7639376.13,7868514.84,8696304.38,8538154.07,8245262.11,7643548.77,6874706.38,6003803.24,2010-12-01
Sistema,Sistema,5512651.86,5237221.31,5177854.75,5150753.2,5350140.82,5797125.04,6160739.33,6618733.49,7033630.26,7260174.27,7505548.23,7616898.27,7437365.61,7354133.46,7447381.54,7462250.37,7548636.3,7837010.05,8672591.34,8459937.2,8166814.03,7507565.7,6761178.71,5904480.65,2010-12-02
Sistema,Sistema,5430348.68,5199213.79,5062412.65,5080375.59,5300490.35,5779092.48,6169277.61,6622791.19,7028240.27,7242536.07,7474762.85,7608649.22,7406041.0,7244423.26,7259292.91,7324272.9,7442202.7,7745325.4,8590928.67,8456133.02,8022450.76,7344068.32,6621336.16,5872367.55,2010-12-03
Sistema,Sistema,5382548.83,5129592.31,5034353.39,5051653.04,5179202.71,5498379.79,5714753.52,6144608.64,6638569.54,6913566.92,7127886.85,7253430.75,7191588.94,6959119.76,6768556.23,6704716.52,6729275.1,7097075.94,7993257.28,7974513.06,7615516.51,7109804.02,6512345.91,5810539.59,2010-12-04
Sistema,Sistema,5347410.76,5038874.0,4822277.53,4778031.53,4840257.59,4908866.05,4821573.04,5108299.36,5494730.32,5780601.77,5975317.19,6102919.81,6099379.71,6000048.59,5838203.39,5763401.02,5754135.01,6205940.46,7382165.2,7653711.04,7332423.74,6946494.83,6314730.77,5607338.32,2010-12-05
Sistema,Sistema,5155032.93,4873241.27,4736535.04,4715705.05,4987204.6,5482156.25,5821606.59,6359425.83,6869564.83,7206574.48,7448560.34,7635950.12,7467753.12,7407441.59,7464119.17,7492986.56,7502574.03,7791393.24,8813635.4,8797102.83,8433365.36,7797082.43,7014715.8,6095045.26,2010-12-06
Sistema,Sistema,5536970.97,5314682.24,5210444.99,5182858.83,5391054.47,5854758.83,6151761.6,6656324.12,7134425.24,7379931.89,7545254.2,7689388.96,7477142.23,7423660.82,7471622.16,7468845.84,7451688.57,7679499.2,8579084.02,8367349.83,7922617.75,7457354.2,6992088.45,6220280.52,2010-12-07
Sistema,Sistema,5692445.95,5369230.77,5209504.13,5134518.54,5175054.93,5249209.28,5113293.12,5395308.99,5768513.65,6038259.04,6302190.68,6473104.91,6490621.06,6396081.53,6230758.64,6154502.0,6132794.89,6525395.65,7750771.41,7844845.91,7560393.88,7065435.52,6463638.91,5792474.13,2010-12-08
Sistema,Sistema,5330350.33,5082693.44,4989104.76,4976004.0,5179721.3,5604622.85,5927985.58,6456346.94,6951521.37,7167626.26,7300993.97,7545698.59,7542794.53,7396723.86,7446579.47,7428397.39,7571526.36,7816159.18,8848592.09,8879838.45,8470432.47,7832626.71,6982170.47,6080725.33,2010-12-09
Sistema,Sistema,5566857.85,5347261.09,5207148.59,5232278.35,5435918.02,5827673.51,6112360.96,6581471.13,6866266.68,7073736.65,7413795.56,7701799.72,7546561.63,7454998.74,7536204.3,7526104.67,7538917.17,7794284.76,8841166.67,8815195.19,8439957.4,7805277.51,7045707.18,6152659.4,2010-12-10
Sistema,Sistema,5669953.44,5443448.17,5327728.65,5261781.71,5385467.78,5602205.95,5709049.54,6104573.91,6623830.96,6980034.79,7215127.45,7421133.32,7288036.52,7067966.93,6875682.04,6815607.92,6814041.08,7073407.29,8286511.82,8358654.47,8029851.57,7466330.95,6831132.27,6106156.43,2010-12-11
Sistema,Sistema,5610183.07,5321762.52,5178799.21,5081672.44,5083219.16,5120570.49,4998176.77,5320705.8,5684087.58,5937407.08,6119978.71,6264633.03,6282912.62,6181346.59,6068658.39,6024405.91,5844692.21,6143653.3,7533507.03,7716576.93,7506025.3,6923831.5,6289836.3,5815256.7,2010-12-12
Sistema,Sistema,5392755.17,5123740.78,5019064.86,5004965.31,5181786.54,5553253.99,5896628.07,6393925.66,6909467.71,7204598.43,7482252.93,7654205.5,7490160.94,7388171.69,7440486.93,7451050.76,7528879.9,7789605.96,8661289.83,8666087.54,8218904.97,7700027.27,6882240.0,5972336.69,2010-12-13
Sistema,Sistema,5478317.3,5211942.05,5095298.84,5033588.74,5264839.81,5597021.73,5744791.06,6272161.23,6804443.37,7077622.37,7258856.39,7391433.4,7224300.85,7147357.55,7177285.15,7226925.61,7239324.39,7445989.21,8610325.77,8611419.98,8091853.62,7326105.87,6553076.76,5830724.91,2010-12-14
