Id,Value,Date
Sistema,162763385.57,2015-12-27
Sistema,182124493.7,2015-12-28
Sistema,184491585.83,2015-12-29
Sistema,183968574.14,2015-12-30
Sistema,168046410.83,2015-12-31
Sistema,193355718.93,2015-11-27
Sistema,179995845.62,2015-11-28
Sistema,164449082.14,2015-11-29
Sistema,190503756.77,2015-11-30
Sistema,193409601.06,2015-12-01
Sistema,195406480.6,2015-12-02
Sistema,195774068.09,2015-12-03
Sistema,194091269.88,2015-12-04
Sistema,185219786.79,2015-12-05
Sistema,168938236.96,2015-12-06
Sistema,187683193.06,2015-12-07
Sistema,170783343.12,2015-12-08
Sistema,195728474.17,2015-12-09
Sistema,196252037.82,2015-12-10
Sistema,197929099.95,2015-12-11
Sistema,185826222.03,2015-12-12
Sistema,170156477.51,2015-12-13
Sistema,191925875.5,2015-12-14
Sistema,192387720.96,2015-12-15
Sistema,194260611.64,2015-12-16
Sistema,193570952.93,2015-12-17
Sistema,193894554.08,2015-12-18
Sistema,182825990.21,2015-12-19
Sistema,169166997.89,2015-12-20
Sistema,190256851.95,2015-12-21
Sistema,191897371.7,2015-12-22
Sistema,190816363.22,2015-12-23
Sistema,174873939.93,2015-12-24
Sistema,150232158.4,2015-12-25
Sistema,168101670.97,2015-12-26
Sistema,192459874.57,2015-10-28
Sistema,193237112.14,2015-10-29
Sistema,192398882.36,2015-10-30
Sistema,180323060.12,2015-10-31
Sistema,159112433.99,2015-11-01
Sistema,158958622.97,2015-11-02
Sistema,184051497.2,2015-11-03
Sistema,187329458.55,2015-11-04
Sistema,186094447.41,2015-11-05
Sistema,189404321.19,2015-11-06
Sistema,179881346.56,2015-11-07
Sistema,161404783.44,2015-11-08
Sistema,185689608.2,2015-11-09
Sistema,188704793.04,2015-11-10
Sistema,189129078.86,2015-11-11
Sistema,191897983.45,2015-11-12
Sistema,191365309.32,2015-11-13
Sistema,181069447.79,2015-11-14
Sistema,161698972.78,2015-11-15
Sistema,163213576.33,2015-11-16
Sistema,183678625.73,2015-11-17
Sistema,184639676.49,2015-11-18
Sistema,187076185.98,2015-11-19
Sistema,189440617.52,2015-11-20
Sistema,179867908.98,2015-11-21
Sistema,163714292.33,2015-11-22
Sistema,187876334.5,2015-11-23
Sistema,190539707.98,2015-11-24
Sistema,192742580.95,2015-11-25
Sistema,194306804.01,2015-11-26
Sistema,196383946.51,2015-09-28
Sistema,197881155.89,2015-09-29
Sistema,192408150.64,2015-09-30
Sistema,188370629.45,2015-10-01
Sistema,189647953.36,2015-10-02
Sistema,182669557.39,2015-10-03
Sistema,164454760.88,2015-10-04
Sistema,193982333.51,2015-10-05
Sistema,197731459.02,2015-10-06
Sistema,196191665.52,2015-10-07
Sistema,196208431.18,2015-10-08
Sistema,196162519.24,2015-10-09
Sistema,183531341.72,2015-10-10
Sistema,160000562.27,2015-10-11
Sistema,163128240.86,2015-10-12
Sistema,190239206.4,2015-10-13
Sistema,188234782.67,2015-10-14
Sistema,189410002.55,2015-10-15
Sistema,191309450.29,2015-10-16
Sistema,183781168.83,2015-10-17
Sistema,165952702.59,2015-10-18
Sistema,191648416.72,2015-10-19
Sistema,195411989.27,2015-10-20
Sistema,194981898.42,2015-10-21
Sistema,197243753.55,2015-10-22
Sistema,195564776.39,2015-10-23
Sistema,179488741.48,2015-10-24
Sistema,155971319.85,2015-10-25
Sistema,183533318.29,2015-10-26
Sistema,189456890.47,2015-10-27
Sistema,186605536.35,2015-08-29
Sistema,165937169.49,2015-08-30
Sistema,191668104.15,2015-08-31
Sistema,193180567.54,2015-09-01
Sistema,195368382.67,2015-09-02
Sistema,194930671.9,2015-09-03
