Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,6428308.74,6128363.02,5938197.45,5831216.41,5799557.09,5768029.62,5551944.21,5859708.39,6312831.29,6665056.38,6903581.22,7105556.44,7204780.64,7157891.98,7027311.8,6919597.85,6791484.98,6886188.9,8023380.14,8340362.36,8195853.85,7851067.12,7277530.79,6710178.12,2015-12-27
Sistema,Sistema,6244544.26,6026092.94,5842656.41,5817093.46,5925072.69,6152014.13,6315333.64,6940297.12,7532646.66,7877213.03,8174776.67,8481006.66,8429640.7,8436384.5,8503130.84,8470040.69,8295399.58,8151249.28,9065801.07,9227856.25,8961509.36,8514950.62,7767927.22,6990413.43,2015-12-28
Sistema,Sistema,6564333.97,6326439.21,6120818.12,6055497.08,6139454.41,6384029.05,6478770.66,6879967.92,7606849.38,7939160.34,8319610.64,8529452.2,8446905.33,8489919.3,8525847.42,8510407.97,8312403.24,8160525.04,9067935.81,9185737.54,8919742.55,8528895.27,7806913.7,7168823.68,2015-12-29
Sistema,Sistema,6630568.93,6464349.05,6371545.43,6326106.39,6494821.05,6756914.96,6747591.51,7259711.96,7722514.75,8050150.26,8359695.7,8545181.73,8402159.36,8362430.83,8376144.21,8337210.94,8151792.88,7989870.94,8867384.96,9039089.97,8804906.83,8441754.72,7827739.19,7235112.38,2015-12-30
Sistema,Sistema,6728467.46,6412935.21,6167296.95,6030394.24,6055248.45,6166861.2,6116735.62,6568023.4,7220202.41,7401309.83,7576462.13,7642931.06,7512415.16,7306899.3,7116587.62,7019685.24,6988292.98,7115051.22,8107103.77,8294816.26,7939099.89,7440468.73,6969828.55,6633510.47,2015-12-31
Sistema,Sistema,6739683.47,6431189.73,6280381.38,6243815.39,6440703.33,6801904.27,7038554.8,7630692.78,8163230.45,8476536.54,8794170.71,9024184.31,8841536.49,8725285.17,8908437.51,8912407.24,8769708.56,8927567.93,9667777.35,9582855.89,9239783.42,8672759.86,7972910.4,7250070.46,2015-11-27
Sistema,Sistema,6752393.4,6516319.24,6321587.82,6233542.84,6315496.39,6471012.48,6610895.07,7188947.15,7688664.56,7920066.28,8086820.39,8200580.28,8111199.52,7949857.95,7803906.41,7696048.59,7615229.5,7883899.76,8908224.06,8908461.7,8603582.3,8065540.03,7386302.02,6857644.33,2015-11-28
Sistema,Sistema,6407842.33,6114062.5,5902934.78,5802248.17,5772840.9,5741598.13,5614204.14,5940816.84,6334545.68,6641714.61,6880564.05,7108249.83,7156192.16,7074213.19,6969676.31,6843016.06,6743044.37,7085286.3,8315625.18,8434918.49,8279793.27,7897810.06,7331913.18,6767961.41,2015-11-29
Sistema,Sistema,6355456.86,6054050.25,5833398.07,5806387.03,6062089.26,6460953.26,6771509.56,7369914.74,7988733.03,8379390.38,8703401.98,8951738.1,8799917.14,8769582.45,8954314.13,8916780.87,8754481.81,8872999.34,9688897.63,9613586.73,9315350.42,8710349.77,7893117.31,7163598.56,2015-11-30
Sistema,Sistema,6622398.57,6404070.02,6222845.69,6187044.88,6401635.53,6763233.49,7033304.1,7655544.04,8183445.73,8447713.18,8733866.03,8929713.71,8752007.1,8754252.1,8945906.19,8937609.56,8757355.22,8845125.39,9685371.61,9638995.94,9329818.29,8781678.38,7931143.95,7241393.14,2015-12-01
Sistema,Sistema,6708747.3,6478761.77,6339203.47,6289965.72,6478582.46,6827034.14,7037735.01,7690620.41,8299986.43,8545403.29,8845848.86,9056043.55,8869973.09,8857319.62,9031909.07,8998104.83,8871519.89,8968940.96,9754496.29,9712802.66,9405356.63,8896505.06,8091312.96,7333426.9,2015-12-02
Sistema,Sistema,6774826.37,6440313.22,6273524.81,6243048.9,6432421.3,6782567.14,7015642.17,7647046.98,8198175.63,8513685.92,8795343.83,9008797.72,8845212.89,8800720.23,8941273.27,8894762.63,8800072.52,9006703.15,9853562.51,9712344.62,9311018.4,8834938.64,7911694.99,7196682.37,2015-12-03
Sistema,Sistema,6696643.75,6444144.43,6259330.99,6223519.65,6367499.41,6710493.98,7075563.29,7626690.89,8230314.83,8462466.18,8695765.28,8953253.6,8791105.0,8775202.48,8898445.79,8893069.03,8767588.45,8831805.76,9681114.02,9651039.52,9239906.23,8704357.0,7957255.47,7299650.88,2015-12-04
Sistema,Sistema,6817374.62,6534851.95,6336173.83,6282761.58,6373504.63,6540973.83,6679385.72,7234587.45,7797828.27,8154899.89,8481598.11,8610160.17,8471736.77,8301439.38,8134927.35,7992014.85,7841901.79,8042585.94,9107984.97,9131890.59,8839033.69,8391573.45,7711130.76,7053603.13,2015-12-05
Sistema,Sistema,6662776.56,6345951.39,6188993.69,6092387.95,6069674.95,5964019.53,5835995.62,6152204.86,6559713.39,6963548.55,7237309.61,7397762.45,7429000.05,7338560.63,7229232.97,7140311.75,7019492.8,7287268.31,8426198.57,8571443.31,8401197.65,8058754.43,7422267.4,6876606.32,2015-12-06
Sistema,Sistema,6536681.96,6239978.75,6097734.52,6037466.12,6187355.82,6486137.62,6751669.92,7337451.52,8032563.89,8398537.98,8725214.55,8953122.08,8784139.97,8781901.37,8848682.67,8772137.45,8537129.73,8432962.3,9308500.32,9168863.75,8584098.48,8114463.12,7574895.71,7054217.2,2015-12-07
