Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,491.43782,491.43782,491.43782,486.43782,486.43782,486.43782,476.43782,486.43782,491.43782,544.43782,544.43782,592.43782,592.43782,592.43782,544.43782,544.43782,501.43782,544.43782,592.43782,592.43782,592.43782,592.43782,592.43782,501.43782,2015-12-27
Sistema,Sistema,350.16809,350.16809,350.16809,350.16809,350.16809,357.51709,391.14109,477.51709,487.51709,487.51709,504.51709,504.51709,504.51709,504.51709,504.51709,504.51709,504.51709,487.51709,504.51709,504.51709,504.51709,504.51709,482.51709,391.14109,2015-12-28
Sistema,Sistema,391.15978,325.45378,325.45378,325.45378,325.45378,325.45378,325.45378,361.16278,396.21178,477.11178,447.11178,447.11178,447.11178,447.11178,447.11178,447.11178,447.11178,396.21178,447.11178,477.11178,447.11178,447.11178,396.21178,396.21178,2015-12-29
Sistema,Sistema,476.72615,446.72615,446.72615,446.72615,446.72615,446.72615,446.72615,476.72615,481.72615,481.72615,481.72615,486.72615,481.72615,481.72615,481.72615,481.72615,481.72615,481.72615,486.72615,486.72615,481.72615,481.72615,481.72615,476.22615,2015-12-30
Sistema,Sistema,386.62918,376.62918,376.62918,376.62918,376.62918,376.62918,376.62918,386.62918,391.62918,416.62918,416.62918,416.62918,416.62918,471.62918,416.62918,416.62918,391.62918,391.62918,476.62918,476.62918,471.62918,416.62918,391.62918,416.62918,2015-12-31
Sistema,Sistema,822.4406,789.6296,789.6296,789.6296,789.6296,822.4406,822.4426,822.4456,822.4466,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4476,822.4466,822.4466,822.4426,2015-11-27
Sistema,Sistema,791.5796,791.5796,789.6296,789.6296,789.6296,791.5796,791.5796,791.5796,822.4406,822.4406,822.4416,822.4416,822.4416,822.4426,822.4406,822.4426,822.4406,822.4416,822.4426,822.4426,822.4416,822.4416,822.4406,791.5796,2015-11-28
Sistema,Sistema,822.4386,789.6296,789.6296,789.6296,789.6296,789.6296,698.6296,789.6296,822.4386,822.4386,822.4386,822.4386,822.4386,822.4386,822.4386,822.4386,822.4386,822.4386,822.4436,822.4436,822.4436,822.4416,822.4386,822.4386,2015-11-29
Sistema,Sistema,794.6296,794.6296,784.6296,784.6296,784.6296,794.6296,820.6296,822.3296,822.3296,822.4406,822.4406,822.4426,822.4416,822.4426,822.4436,822.4436,822.4426,822.4426,822.4446,822.4446,822.4436,822.4406,822.3296,822.3296,2015-11-30
Sistema,Sistema,806.24568,806.24568,801.24568,801.24568,806.24568,806.24568,816.23568,817.24568,819.05868,819.05968,819.05968,819.05968,819.05968,819.05968,819.06068,819.06068,819.05968,819.05968,819.06068,819.06068,819.05968,819.05968,819.05868,817.24568,2015-12-01
Sistema,Sistema,817.24568,817.24568,806.24568,802.19568,806.24568,816.24568,817.24568,819.05968,819.06068,819.06068,819.06068,819.06068,819.06068,819.06068,819.06068,819.06068,819.06068,819.06068,819.06168,819.06168,819.06268,819.06068,819.05968,817.24568,2015-12-02
Sistema,Sistema,801.24568,796.24568,796.24568,796.24568,796.24568,801.24568,802.24568,802.24568,806.24568,806.24568,816.24568,819.05768,816.24568,816.24568,819.05768,816.24568,816.24568,816.24568,819.05668,819.05668,819.05768,816.24568,802.24568,802.24568,2015-12-03
Sistema,Sistema,802.49568,801.24568,801.24568,801.24568,801.24568,801.24568,802.49568,802.49568,817.24568,817.24568,818.24568,818.24568,818.24568,818.24568,818.24568,818.24568,818.24568,818.24568,819.05968,818.24568,818.24568,817.24568,802.49568,802.49568,2015-12-04
