Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Recurso,ALBG,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,548.0,2015-12-27
Recurso,CHBG,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2015-12-27
Recurso,CHVR,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,596.0,2015-12-27
Recurso,CIMR,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,2015-12-27
Recurso,CLMG,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2015-12-27
Recurso,CTG1,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,535.387,2015-12-27
Recurso,CTG2,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,536.387,2015-12-27
Recurso,CTG3,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,2015-12-27
Recurso,GEC3,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,193.512,2015-12-27
Recurso,GTPE,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,2015-12-27
Recurso,GTRG,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,2015-12-27
Recurso,GVIO,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,2015-12-27
Recurso,HMLG,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,1123.73,2015-12-27
Recurso,JAGS,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,2015-12-27
Recurso,LTSJ,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,2015-12-27
Recurso,MRL1,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,393.624,2015-12-27
Recurso,PGUG,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,59.692,2015-12-27
Recurso,PLYS,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,2015-12-27
Recurso,PPA1,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,140.594,2015-12-27
Recurso,PPA2,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,135.962,2015-12-27
