Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,7033400.58,6777850.37,6603037.91,6519615.69,6537916.36,6588219.92,6551337.09,6808093.82,7135042.52,7431642.87,7602363.0,7734182.76,7758981.11,7679585.22,7566969.51,7488377.07,7451467.53,7741113.0,8821003.82,9037582.04,8847499.56,8362738.59,7761923.23,7182284.21,2015-12-27
Sistema,Sistema,6682147.81,6470768.07,6355788.09,6351731.1,6504276.71,6802641.04,7185108.6,7698591.0,8189184.61,8480703.9,8682257.52,8905577.08,8750327.43,8654242.22,8687587.59,8665087.57,8628107.7,8797247.09,9711756.8,9788080.77,9499972.4,8955255.96,8237646.7,7530237.29,2015-12-28
Sistema,Sistema,6889887.57,6592875.29,6460946.63,6435434.64,6576311.82,6855177.3,7121616.91,7502446.08,8193258.67,8479342.35,8702176.57,8885288.18,8713257.96,8643383.97,8662186.54,8662504.13,8615018.17,8737970.11,9661492.74,9741007.5,9427998.96,8898368.96,8187822.43,7510164.26,2015-12-29
Sistema,Sistema,6925069.61,6685901.16,6550052.38,6535688.4,6750972.14,7056585.34,7317072.51,7754252.98,8216428.59,8523673.56,8770657.31,8914857.28,8737651.26,8629097.67,8639683.31,8624927.06,8571907.92,8725748.36,9650539.45,9701130.93,9404288.87,8878112.99,8164620.36,7497287.07,2015-12-30
Sistema,Sistema,6899292.43,6677999.82,6560562.1,6509575.21,6640097.55,6891350.68,7109295.31,7475224.47,7945731.8,8234272.36,8443628.76,8563576.29,8352002.01,8166529.4,8128296.11,8074090.43,8026819.42,8231621.22,9162802.18,9239748.19,8929420.07,8393907.9,7730984.18,7054201.56,2015-12-31
Sistema,Sistema,7354610.89,7121505.77,7019447.42,7010947.47,7258197.03,7775530.53,8089087.83,8481702.69,8934764.66,9178171.92,9458036.37,9651254.29,9410289.16,9289815.41,9426913.03,9464695.25,9458178.63,9748143.39,10495150.5,10442981.76,10041434.52,9401396.7,8616625.69,7846010.69,2015-11-27
Sistema,Sistema,7442537.12,7209257.49,7060319.63,7019268.39,7142361.43,7333147.1,7595777.17,8060097.04,8566499.0,8836356.82,9033338.1,9174366.46,9035536.66,8852034.95,8711037.28,8640844.86,8588813.27,8932063.06,9861698.6,9851664.71,9513240.12,8921815.39,8284527.3,7686932.44,2015-11-28
Sistema,Sistema,7258128.72,6989813.06,6837345.64,6760055.81,6800804.47,6833184.01,6860425.4,7148483.73,7515976.44,7801222.48,7997614.94,8182586.59,8207986.88,8114024.49,7962156.24,7840154.16,7760954.36,8246126.59,9294457.78,9411897.17,9208164.58,8681628.93,8064825.75,7468039.91,2015-11-29
Sistema,Sistema,7210931.63,6983409.01,6867202.88,6873362.02,7142307.4,7651975.62,7995401.5,8354283.51,8805033.03,9133048.4,9406339.35,9592205.98,9370410.33,9313346.42,9418969.69,9431209.48,9408588.18,9706027.82,10482974.6,10401554.88,10018751.28,9365830.26,8575289.8,7796475.16,2015-11-30
Sistema,Sistema,7196907.49,6988098.73,6857955.48,6856169.7,7035124.67,7315963.81,7597509.88,8050908.42,8491135.04,8754531.11,8985037.48,9118313.46,8968307.16,8912338.72,8966118.99,8964002.73,8889444.3,9070321.28,10012696.58,10078412.42,9760539.47,9198151.56,8472462.33,7794086.96,2015-12-01
Sistema,Sistema,7239654.54,7016863.36,6907689.81,6878257.15,7017283.75,7319927.85,7592133.72,8046967.6,8530831.0,8805261.31,9004585.24,9185248.5,9030239.43,8941782.98,8998686.28,8977491.77,8946108.42,9150953.94,10032335.66,10097065.59,9823530.73,9254828.24,8537682.94,7849768.28,2015-12-02
Sistema,Sistema,7292032.42,7050912.52,6915145.91,6876767.82,7039128.2,7348224.45,7617634.63,8101442.64,8555579.62,8850017.58,9074317.78,9239590.78,9079360.52,8969022.31,9007970.41,8976973.27,8948368.21,9141132.37,10048278.21,10122682.41,9761018.73,9244654.28,8532250.66,7864859.06,2015-12-03
Sistema,Sistema,7289320.7,7063224.59,6935923.09,6940181.94,7067093.09,7346934.83,7648253.01,8072736.14,8576411.39,8801342.61,8999081.62,9197502.01,9047041.15,8950939.48,8970693.42,8959665.02,8930866.68,9088482.53,9999241.78,10078050.13,9774979.81,9222586.54,8501244.16,7831622.01,2015-12-04
Sistema,Sistema,7370017.36,7079857.09,6924864.89,6880087.38,6989941.2,7178514.39,7381734.68,7774248.7,8232153.25,8547066.61,8751904.83,8854281.48,8755639.82,8554213.41,8406439.03,8324965.84,8271325.75,8533095.84,9589465.13,9740498.84,9454131.06,8904616.62,8315565.11,7688004.94,2015-12-05
Sistema,Sistema,7277746.21,7036003.51,6847798.01,6759074.39,6773957.03,6787045.01,6750055.36,6979948.77,7298029.87,7618283.82,7817033.66,7948842.72,7959315.6,7857715.3,7724211.72,7649432.95,7608566.66,7951348.48,8995090.36,9208615.6,9013723.97,8547569.45,7939391.37,7371568.94,2015-12-06
Sistema,Sistema,7084282.18,6860791.8,6740792.29,6724599.91,6900890.82,7196738.85,7502192.74,7893585.49,8428666.47,8760905.57,9009340.56,9175064.46,8963945.31,8891751.23,8901280.05,8868798.32,8760780.77,8880042.27,9798240.46,9883902.67,9547049.17,8979456.3,8291099.19,7617676.6,2015-12-07
Sistema,Sistema,7195670.78,6924985.88,6768790.54,6708032.91,6730632.91,6788663.74,6767034.02,7010007.81,7321332.83,7583367.52,7785307.46,7964437.55,7961452.66,7878412.5,7774387.47,7705320.8,7691102.79,7995011.37,9092408.69,9299447.48,9125859.36,8619814.53,8022356.82,7464362.88,2015-12-08
Sistema,Sistema,7163133.05,6940878.92,6824321.52,6798860.85,6937144.34,7259891.19,7582611.52,8047664.46,8563356.4,8859348.69,9111537.59,9258530.76,9064574.12,8995724.16,9029059.58,9013579.16,8947696.31,9113308.49,10029928.59,10038038.68,9723559.75,9200991.21,8502485.59,7839725.02,2015-12-09
Sistema,Sistema,7224639.37,6987396.31,6858928.07,6829555.73,6982711.42,7284849.8,7567268.55,8018647.94,8523838.74,8833230.74,9103441.32,9264528.3,9100040.8,8993191.73,9005511.9,8996354.76,8955921.76,9144222.65,10083440.46,10165719.55,9840869.04,9256793.51,8557407.53,7869133.85,2015-12-10
Sistema,Sistema,7312629.23,7053261.71,6940612.68,6923867.4,7079915.45,7371463.41,7642909.43,8102670.57,8584960.23,8902466.47,9100097.88,9255875.64,9079764.71,8998282.18,9034424.5,9034435.55,8991148.04,9157194.16,10069705.86,10125379.34,9812605.05,9227596.18,8499410.47,7838556.43,2015-12-11
Sistema,Sistema,7403667.31,7125492.5,6956107.11,6903441.96,7010553.6,7176896.58,7338309.59,7738733.83,8186264.29,8516805.43,8730975.16,8843486.89,8735292.94,8521913.82,8379177.66,8275533.18,8238177.43,8491902.77,9596200.0,9722954.72,9467169.98,8905809.27,8275283.3,7659925.37,2015-12-12
Sistema,Sistema,7261906.66,7006330.5,6824814.27,6730796.14,6728857.24,6713330.06,6698616.71,6944846.65,7270740.02,7540023.11,7733334.29,7885257.24,7888989.17,7750203.03,7606238.68,7607062.32,7592719.02,7896726.33,8987262.04,9154796.93,9003797.83,8538598.95,7941955.2,7368841.72,2015-12-13
Sistema,Sistema,7093664.72,6866382.78,6706426.44,6631411.88,6894566.91,7221577.22,7541816.57,7995716.28,8472238.29,8768643.61,8996088.5,9150242.88,9015715.03,8932086.77,8980205.74,8972655.14,8894694.46,9055585.76,9995716.23,10082219.93,9780329.05,9210275.22,8486996.0,7768815.41,2015-12-14
Sistema,Sistema,7204031.68,6921453.51,6817137.24,6842831.32,7017337.03,7277282.59,7567396.14,7997806.02,8457433.52,8760534.09,8952020.69,9126474.29,8956267.33,8939511.48,9000727.08,8978423.1,8920844.63,9086142.99,10004721.75,10057544.07,9736925.56,9150322.35,8418757.19,7729389.8,2015-12-15
Sistema,Sistema,7165827.67,6927958.67,6840399.2,6799181.32,6986555.85,7297632.4,7619328.84,8070526.89,8525261.0,8867216.45,9093270.19,9266462.89,9069453.99,8981189.26,8997522.03,8941853.15,8911288.24,9085252.62,10015166.41,10087760.0,9743810.16,9217617.11,8522297.44,7822006.35,2015-12-16
Sistema,Sistema,7237253.12,6993329.11,6913599.93,6889618.32,7035382.71,7264270.04,7549523.72,7985950.43,8477269.22,8799840.4,9002039.87,9146909.66,8969307.15,8860013.8,8895413.26,8872711.36,8855638.41,9068858.15,9983929.5,10042078.73,9743210.67,9171559.51,8493902.92,7807656.76,2015-12-17
Sistema,Sistema,7223276.25,6973501.74,6827309.6,6842278.95,6997585.58,7289652.24,7572657.08,8012383.3,8510407.62,8797319.56,9048697.44,9212270.5,9032132.53,8959728.94,8981993.74,8933473.12,8895857.56,9060786.9,9950269.71,10049665.91,9738090.71,9234288.19,8496233.41,7797981.96,2015-12-18
Sistema,Sistema,7337654.67,7046746.75,6908954.59,6884559.91,6986404.57,7159204.59,7347390.83,7708755.68,8184690.94,8490430.14,8684719.36,8798711.76,8692810.94,8490372.26,8328269.96,8260190.44,8216806.01,8446525.35,9503093.16,9661735.63,9402675.06,8872602.95,8238503.44,7613369.8,2015-12-19
Sistema,Sistema,7213830.76,6977401.66,6805525.59,6678398.12,6649780.29,6680354.53,6639427.38,6895422.99,7258291.78,7542555.81,7746042.23,7867418.71,7866296.78,7796174.1,7660826.35,7602346.67,7566343.79,7875400.62,8980629.12,9180761.87,8986469.01,8523628.12,7890496.69,7315656.89,2015-12-20
Sistema,Sistema,7016226.82,6792705.47,6660151.79,6634815.47,6824124.75,7121664.0,7403179.96,7880300.42,8346148.34,8712856.1,8957928.8,9135303.38,8942169.97,8839553.35,8876473.41,8842009.74,8803405.57,8976191.89,9909079.02,9988685.61,9668793.28,9135977.89,8411278.1,7721979.77,2015-12-21
Sistema,Sistema,7141047.13,6869086.31,6782407.49,6775860.96,6924722.27,7216130.23,7511902.59,7940325.19,8443048.96,8742963.97,8967033.21,9150460.12,8951956.46,8858304.36,8866425.93,8820976.5,8806702.37,8975075.16,9914120.28,9984905.9,9693514.81,9157659.9,8417863.39,7764844.86,2015-12-22
Sistema,Sistema,7166474.39,6916095.26,6757902.71,6766047.31,6936374.03,7232332.24,7474363.0,7882447.07,8352285.35,8682999.51,8940053.2,9111071.23,8896312.74,8814079.98,8812975.26,8788103.59,8759684.5,8922059.29,9861188.47,9933389.69,9620943.26,9065553.02,8353700.24,7672688.95,2015-12-23
Sistema,Sistema,7104507.78,6858795.95,6706661.6,6676431.9,6804729.66,7071031.26,7297446.16,7698233.24,8165449.39,8469556.24,8663476.04,8784628.51,8580507.98,8396138.04,8344570.89,8277839.9,8223765.27,8421102.41,9364156.26,9429917.66,9110398.82,8572232.71,7906197.58,7225101.62,2015-12-24
Sistema,Sistema,6786242.42,6526769.55,6372963.77,6289534.82,6139238.82,6186450.26,6161913.98,6381210.22,6684895.54,7114557.57,7314089.8,7485426.21,7482340.35,7438337.08,7316752.12,7260057.49,7258085.58,7513895.92,8625721.41,8823847.38,8656666.49,8174469.68,7578053.11,6995587.99,2015-12-25
Sistema,Sistema,6791539.34,6555780.69,6420206.15,6361541.81,6473549.51,6672036.0,6844090.36,7250958.72,7739302.7,8098914.13,8289797.9,8424053.21,8336674.24,8151567.89,8031646.42,7963475.59,7921593.69,8181797.73,9240771.67,9398832.36,9144474.79,8625913.04,8048717.54,7447494.24,2015-12-26
Sistema,Sistema,7090642.93,6900138.21,6786630.81,6742938.19,6993719.87,7594164.89,7892383.26,8251044.18,8690221.71,8888355.91,9195763.42,9407946.36,9181214.8,9101263.75,9208577.38,9229724.44,9208391.0,9414150.83,10235800.3,10169836.41,9775482.03,9123571.02,8316847.67,7597568.48,2015-10-28
Sistema,Sistema,7114908.41,6896690.12,6790982.67,6777336.74,7014705.51,7569385.55,7864023.26,8214518.52,8680717.77,8965421.02,9232304.63,9408218.3,9164562.62,9119232.56,9231635.92,9284421.13,9269071.07,9444206.99,10254032.44,10166151.76,9782402.45,9141001.04,8344083.76,7627824.79,2015-10-29
Sistema,Sistema,7110208.72,6921039.81,6816367.03,6808107.06,7030366.51,7563818.03,7863563.05,8247520.51,8674499.32,8951695.89,9248549.42,9340003.28,9163127.25,9112675.99,9204078.81,9263919.23,9235718.7,9420090.73,10228438.55,10170255.36,9795614.27,9142642.77,8328061.26,7644970.9,2015-10-30
Sistema,Sistema,7344724.94,7105718.7,6970021.1,6928132.98,7044096.96,7241133.21,7461557.21,7900792.77,8404772.95,8748647.27,8966666.83,9090795.52,8977549.81,8764604.56,8570709.44,8447271.35,8333361.67,8626578.81,9529354.99,9526322.77,9181498.68,8649790.44,8004034.77,7428196.09,2015-10-31
Sistema,Sistema,6943781.54,6710007.69,6586352.22,6477505.85,6485281.23,6508587.48,6539215.51,6830727.08,7201228.84,7520291.32,7746685.88,7897791.59,7938108.64,7862169.04,7695016.79,7576938.13,7569584.7,7976232.13,8952398.05,9038846.41,8801328.85,8296691.72,7660134.65,7093675.98,2015-11-01
Sistema,Sistema,6839253.38,6618702.55,6481481.23,6413773.07,6467127.09,6540462.98,6601505.22,6928998.8,7250865.07,7598263.79,7849615.67,8038785.72,8074667.17,7952726.13,7804812.43,7708988.33,7703093.48,8148963.13,9075966.01,9210415.6,8939442.62,8403959.88,7786178.69,7263806.67,2015-11-02
Sistema,Sistema,6994348.97,6807176.44,6708111.55,6673921.49,6936459.72,7501569.93,7829803.42,8185195.4,8656734.36,8927693.3,9189278.01,9402291.12,9196185.41,9128767.95,9218577.56,9229315.88,9219674.92,9483428.71,10252014.84,10180096.26,9783728.37,9172826.55,8341027.65,7613058.52,2015-11-03
Sistema,Sistema,7119796.15,6910626.3,6781268.1,6772867.71,7022366.85,7540294.71,7888347.24,8239675.03,8674859.34,8953705.09,9228561.92,9390179.9,9180748.19,9121108.16,9210985.56,9219745.91,9213895.86,9486413.3,10266518.57,10185215.73,9800129.73,9174164.57,8384970.93,7649441.81,2015-11-04
Sistema,Sistema,7283130.27,7047863.55,6928703.26,6911937.78,7155655.99,7692295.65,8026427.02,8421211.45,8840088.29,9077984.78,9332504.74,9517387.37,9295889.58,9231682.02,9349852.62,9368724.34,9390165.84,9685180.65,10412203.08,10352207.8,9970121.68,9346784.39,8546188.29,7805916.42,2015-11-05
Sistema,Sistema,7319869.84,7103572.25,7003992.79,7013513.87,7248632.03,7774998.39,8102762.44,8476647.95,8905560.79,9197379.49,9432433.08,9621338.0,9312562.56,9330461.64,9437718.94,9447203.54,9433935.78,9695479.04,10484682.98,10391972.81,9997158.61,9368545.6,8583151.45,7843225.68,2015-11-06
Sistema,Sistema,7478964.51,7235723.85,7094509.46,7019079.53,7149912.98,7349857.63,7634611.68,8120551.37,8638686.96,8926482.51,9149063.1,9290847.56,9163702.07,8930037.92,8743241.0,8677919.18,8624090.57,8974097.48,9880415.88,9862720.74,9515304.95,8886133.11,8239966.85,7633526.23,2015-11-07
Sistema,Sistema,7192055.77,6951709.01,6838565.91,6744067.56,6762573.38,6746499.32,6814270.91,7106692.58,7505390.59,7797220.93,8016295.98,8163192.47,8185647.2,8066507.69,7919811.4,7812513.43,7778178.41,8196223.33,9147919.96,9256340.19,9057418.56,8528212.78,7945987.87,7362070.63,2015-11-08
Sistema,Sistema,7065770.71,6840635.41,6767467.72,6742061.27,6956288.37,7489664.29,7864224.02,8267165.85,8766756.82,9048465.09,9288306.08,9469168.95,9238405.05,9192012.37,9300191.53,9336450.4,9334317.35,9589244.41,10353600.37,10302164.86,9923797.29,9270587.43,8461072.46,7694522.5,2015-11-09
Sistema,Sistema,7221314.02,7005702.43,6906166.26,6886957.45,7138489.55,7682954.09,8032926.59,8399389.36,8839758.53,9103851.38,9391163.42,9551786.14,9303677.84,9248167.03,9378528.09,9364920.07,9371534.2,9648664.78,10402241.67,10340367.71,9942247.24,9287188.05,8453994.11,7729859.63,2015-11-10
Sistema,Sistema,7238505.03,7048242.94,6945971.21,6947417.55,7057158.12,7554268.57,7877376.56,8251491.35,8677075.19,8941061.59,9216807.61,9523148.99,9291017.38,9256092.47,9363183.67,9369251.4,9367227.63,9628867.36,10383306.74,10328264.05,9953998.56,9286826.13,8479080.86,7737559.51,2015-11-11
Sistema,Sistema,7262809.09,7050893.39,6951361.06,6941809.13,7180580.38,7693052.66,8030634.9,8405742.94,8849584.39,9123149.21,9367634.92,9533371.44,9323040.98,9265455.17,9369251.42,9390442.57,9387377.56,9637455.52,10397035.58,10314400.39,9919779.56,9300466.47,8516534.11,7773967.6,2015-11-12
Sistema,Sistema,7245736.19,7034048.95,6946656.43,6944516.02,7178088.38,7683401.1,8004083.55,8384671.69,8821890.94,9093358.93,9378740.48,9537305.16,9305482.31,9243665.04,9353258.99,9343434.58,9325690.37,9586057.08,10358069.25,10279475.41,9893399.49,9254970.01,8432963.79,7656779.24,2015-11-13
Sistema,Sistema,7357225.57,7106285.69,6970251.35,6916797.06,7017117.46,7192682.09,7478093.76,7942882.96,8489289.08,8803429.89,9008250.23,9156562.97,9024828.35,8788994.17,8644282.89,8560554.75,8499842.22,8870136.7,9774468.26,9738795.75,9386131.0,8778542.49,8119753.58,7548446.0,2015-11-14
Sistema,Sistema,7088697.28,6836891.14,6715800.74,6654002.17,6693007.5,6754902.05,6785902.7,7082511.71,7455075.78,7730954.6,7938883.2,8082791.25,8089486.79,7969662.47,7809769.87,7714262.65,7696418.26,8126631.16,9137819.75,9248310.17,9036434.65,8502447.95,7865618.81,7279128.25,2015-11-15
Sistema,Sistema,7052734.13,6842006.35,6718099.02,6662865.94,6720531.01,6794045.35,6875071.46,7213507.65,7593129.3,7896886.69,8126312.81,8304716.49,8320314.98,8220287.79,8072629.05,7992890.77,7963843.45,8385196.33,9311077.2,9423117.97,9173142.38,8656845.44,8023119.96,7456589.02,2015-11-16
Sistema,Sistema,7195754.57,6954239.51,6868614.34,6873419.67,7138140.18,7665047.54,8023455.13,8420207.28,8861016.61,9117882.17,9378836.18,9548863.55,9326900.62,9267779.47,9337172.42,9341647.95,9349428.31,9645181.48,10446154.57,10342702.95,9950832.49,9302140.59,8551930.28,7798547.1,2015-11-17
Sistema,Sistema,7306990.57,7089082.79,6991855.91,6972674.06,7206364.06,7721411.22,8057669.65,8418849.05,8863688.76,9129102.13,9399842.58,9572404.27,9381926.1,9321079.25,9424048.57,9436478.12,9431401.92,9704224.55,10499444.55,10408588.24,10033817.35,9421583.36,8621144.71,7850238.82,2015-11-18
