Id,Value,Date
Sistema,109223.918,2015-12-12
Sistema,190068.9,2015-11-06
Sistema,36478.42138,2015-11-07
Sistema,8343.447,2015-10-03
Sistema,57189.29069,2015-09-20
Sistema,10279586.4,2015-09-21
Sistema,88172125.86166,2015-07-30
Sistema,74864154.12138,2015-07-31
Sistema,15614412.14749,2015-08-01
Sistema,3369369.18,2015-08-02
Sistema,2243374.8,2015-08-03
Sistema,8704670.17069,2015-08-04
Sistema,16421597.86,2015-08-05
Sistema,1273.54138,2015-08-06
Sistema,4382687.5,2015-08-11
Sistema,4735243.8,2015-08-13
Sistema,16206030.89,2015-08-14
Sistema,45339990.24,2015-08-15
Sistema,120631598.36,2015-08-16
Sistema,83602027.85,2015-08-17
Sistema,34067894.57,2015-08-18
Sistema,3383848.09,2015-08-19
Sistema,17567686.58305,2015-08-20
Sistema,17075913.96,2015-08-21
Sistema,2102579.99444,2015-06-30
Sistema,514215.96,2015-07-18
Sistema,2985298.92,2015-07-19
Sistema,5224591.27861,2015-07-20
Sistema,4485139.25069,2015-07-21
Sistema,3091737.59069,2015-07-22
Sistema,3832460.95861,2015-07-23
Sistema,17194494.49861,2015-07-24
Sistema,15694281.8493,2015-07-25
Sistema,2466925.96138,2015-07-26
Sistema,20592627.25832,2015-07-27
Sistema,30491962.83249,2015-07-28
Sistema,71497188.08763,2015-07-29
Sistema,2851937.19077,2015-05-31
Sistema,42881.136,2015-06-01
Sistema,10353822.76738,2015-06-02
Sistema,10246757.77477,2015-06-03
Sistema,10319720.496,2015-06-04
Sistema,9823912.66605,2015-06-05
Sistema,3024235.47277,2015-06-06
Sistema,2145326.09416,2015-06-07
Sistema,2147021.28,2015-06-16
Sistema,1015499.68777,2015-06-21
Sistema,8166423.08888,2015-06-22
Sistema,12656516.31111,2015-06-23
Sistema,12854121.29333,2015-06-24
Sistema,13669848.98888,2015-06-25
Sistema,1860742.71777,2015-06-26
Sistema,7504689.94888,2015-06-27
Sistema,12818482.55333,2015-06-28
Sistema,8147188.49333,2015-06-29
Sistema,43.87172,2015-05-19
Sistema,159084.624,2015-05-21
Sistema,324608.736,2015-05-22
Sistema,80786.304,2015-05-23
Sistema,270970.728,2015-05-24
Sistema,67058.52027,2015-05-25
Sistema,585.408,2015-05-26
Sistema,82893.84055,2015-05-29
Sistema,800779.53544,2015-05-30
Sistema,78336.72,2015-04-04
Sistema,227922.552,2015-04-05
Sistema,909750.35525,2015-04-07
Sistema,1665103.02475,2015-04-08
Sistema,136156.68,2015-04-09
Sistema,243589.896,2015-04-14
Sistema,963168.624,2015-04-15
Sistema,277535.808,2015-04-16
Sistema,746.064,2015-04-21
Sistema,166677.50944,2015-02-02
Sistema,69308.4,2015-02-03
Sistema,43832.88,2015-02-13
Sistema,37464.0,2015-02-14
