Id,Value,Date
Sistema,10770513800.0,2015-12-27
Sistema,10703879700.0,2015-12-28
Sistema,10646314500.0,2015-12-29
Sistema,10590745200.0,2015-12-30
Sistema,10562991600.0,2015-12-31
Sistema,11516310300.0,2015-11-27
Sistema,11520031200.0,2015-11-28
Sistema,11529405200.0,2015-11-29
Sistema,11516892300.0,2015-11-30
Sistema,11502479500.0,2015-12-01
Sistema,11466292100.0,2015-12-02
Sistema,11459629900.0,2015-12-03
Sistema,11515474800.0,2015-12-04
Sistema,11524134600.0,2015-12-05
Sistema,11553511700.0,2015-12-06
Sistema,11536165000.0,2015-12-07
Sistema,11523014300.0,2015-12-08
Sistema,11491988300.0,2015-12-09
Sistema,11466821700.0,2015-12-10
Sistema,11415597200.0,2015-12-11
Sistema,11372745600.0,2015-12-12
Sistema,11338922200.0,2015-12-13
Sistema,11296366400.0,2015-12-14
Sistema,11258285000.0,2015-12-15
Sistema,11210680400.0,2015-12-16
Sistema,11185522200.0,2015-12-17
Sistema,11137240500.0,2015-12-18
Sistema,11100429900.0,2015-12-19
Sistema,11072488000.0,2015-12-20
Sistema,11008600300.0,2015-12-21
Sistema,10944803100.0,2015-12-22
Sistema,10874359500.0,2015-12-23
Sistema,10839210000.0,2015-12-24
Sistema,10832462700.0,2015-12-25
Sistema,10804352400.0,2015-12-26
Sistema,10165665500.0,2015-10-28
Sistema,10145728900.0,2015-10-29
Sistema,10128075700.0,2015-10-30
Sistema,10101280900.0,2015-10-31
Sistema,10737197000.0,2015-11-01
Sistema,10793750300.0,2015-11-02
Sistema,10783681500.0,2015-11-03
Sistema,10793077700.0,2015-11-04
Sistema,10849159700.0,2015-11-05
Sistema,10918603500.0,2015-11-06
Sistema,11035564000.0,2015-11-07
Sistema,11139436600.0,2015-11-08
Sistema,11179997700.0,2015-11-09
Sistema,11265043400.0,2015-11-10
Sistema,11282634700.0,2015-11-11
Sistema,11273478200.0,2015-11-12
Sistema,11259280500.0,2015-11-13
Sistema,11251973700.0,2015-11-14
Sistema,11287505600.0,2015-11-15
Sistema,11298841200.0,2015-11-16
Sistema,11331858100.0,2015-11-17
Sistema,11353644500.0,2015-11-18
Sistema,11363227300.0,2015-11-19
Sistema,11388309100.0,2015-11-20
Sistema,11421559600.0,2015-11-21
Sistema,11459131800.0,2015-11-22
Sistema,11487971400.0,2015-11-23
Sistema,11500222700.0,2015-11-24
Sistema,11520637600.0,2015-11-25
Sistema,11511436200.0,2015-11-26
Sistema,10518172623.0,2015-09-28
Sistema,10467700427.7,2015-09-29
Sistema,10432955112.1,2015-09-30
Sistema,10379465000.0,2015-10-01
Sistema,10338833000.0,2015-10-02
