fecha,compras_contrato
2010-01-01,139513242.05
2010-01-02,149019866.53
2010-01-03,142706302.31
2010-01-04,162337508.33
2010-01-05,164415230.05
2010-01-06,163158987.3
2010-01-07,167986492.28
2010-01-08,172147368.21
2010-01-09,164998217.56999996
2010-01-10,155259130.72
2010-01-11,156685783.07
2010-01-12,169969310.47
2010-01-13,172631091.39000002
2010-01-14,173995690.65000004
2010-01-15,173863314.42000005
2010-01-16,167966408.98999998
2010-01-17,157145988.03
2010-01-18,170974694.3
2010-01-19,171438603.33999997
2010-01-20,173744319.15999997
2010-01-21,172783398.3
2010-01-22,172730600.70999998
2010-01-23,167470367.8
2010-01-24,156843026.76
2010-01-25,173108870.33
2010-01-26,173501867.02
2010-01-27,174364381.83
2010-01-28,174355511.73000002
2010-01-29,172708201.41000003
2010-01-30,167448752.51
2010-01-31,156197102.45000002
2010-02-01,174015638.69999996
2010-02-02,175618076.54000002
2010-02-03,173560569.92999998
2010-02-04,174937645.91
2010-02-05,177457745.76999998
2010-02-06,172725323.91999996
2010-02-07,159222639.78
2010-02-08,178484106.72
2010-02-09,178090803.23000002
2010-02-10,177603908.07
2010-02-11,176868518.48000002
2010-02-12,173710787.42
2010-02-13,168300549.13
2010-02-14,157427317.41000003
2010-02-15,173935737.78999996
2010-02-16,175042800.83999997
2010-02-17,176027850.98000002
2010-02-18,176080668.47000003
2010-02-19,176236000.26999998
2010-02-20,169669029.58
2010-02-21,158266561.81
2010-02-22,176975976.13
2010-02-23,176726990.77
2010-02-24,176543936.12
2010-02-25,177053588.83
2010-02-26,175647737.09999996
2010-02-27,168314967.25
2010-02-28,157836737.2
2010-03-01,170255693.13000003
2010-03-02,170579044.24
2010-03-03,172067952.73000002
2010-03-04,173124017.25
2010-03-05,172015285.34
2010-03-06,164575027.75000003
2010-03-07,155280432.10000002
2010-03-08,169755100.88
2010-03-09,172699447.52
2010-03-10,174042328.48
2010-03-11,173448767.98
2010-03-12,173759010.76
2010-03-13,167700919.41
2010-03-14,156011523.62
2010-03-15,172830854.40000004
2010-03-16,174836396.45999998
2010-03-17,172537312.11000004
2010-03-18,174276177.19
2010-03-19,174370867.46000004
2010-03-20,168646778.59
2010-03-21,158523280.38
2010-03-22,158965117.94000003
2010-03-23,173411016.24
2010-03-24,174932446.49
2010-03-25,175047855.64999995
2010-03-26,176048780.29
2010-03-27,169227622.72
2010-03-28,158628558.29000005
2010-03-29,173154569.20000002
2010-03-30,173466002.04999998
2010-03-31,171363556.23000002
2010-04-01,153982795.8
2010-04-02,150599242.12000003
2010-04-03,159952303.64000002
2010-04-04,154768437.07999995
2010-04-05,172282444.76
2010-04-06,173626280.14000002
2010-04-07,173574159.81
2010-04-08,171911038.89000002
2010-04-09,173139253.32
2010-04-10,167903444.44
2010-04-11,157143010.0
2010-04-12,172880242.4
2010-04-13,174919557.55
2010-04-14,174560855.89000002
2010-04-15,174775175.29999998
2010-04-16,174858625.91
2010-04-17,167355130.75
2010-04-18,156108795.57000002
2010-04-19,172797211.16000003
2010-04-20,173415241.7
2010-04-21,173021832.88999996
2010-04-22,172834750.96999997
2010-04-23,172657753.67999998
2010-04-24,168207368.10999998
2010-04-25,158613867.34
2010-04-26,174305779.5
2010-04-27,175041983.79999998
2010-04-28,174858304.36
2010-04-29,175352377.25
2010-04-30,174512857.60000002
2010-05-01,166602444.27
2010-05-02,164596866.62999997
2010-05-03,182421836.53
2010-05-04,183664566.11999995
2010-05-05,182955972.60999998
2010-05-06,183349925.37999997
2010-05-07,185334908.40000004
2010-05-08,180375316.55
2010-05-09,167574506.01
2010-05-10,185142877.94000003
2010-05-11,186221032.48
2010-05-12,185414225.48
2010-05-13,185681466.32
2010-05-14,185594082.63
2010-05-15,180664569.61999995
2010-05-16,168892794.5
2010-05-17,169225011.87
2010-05-18,185809604.79
2010-05-19,187124778.74999994
2010-05-20,187045791.47999996
2010-05-21,186126684.39
2010-05-22,180901353.05000004
2010-05-23,169050286.60000002
2010-05-24,184664306.29999998
2010-05-25,185661385.11999997
2010-05-26,185583213.24999997
2010-05-27,185152595.58
2010-05-28,184822750.78
2010-05-29,178988240.26
2010-05-30,166676852.68000004
2010-05-31,183655912.34
2010-06-01,189784732.26999995
2010-06-02,187580199.9
2010-06-03,187839960.92000002
2010-06-04,176798171.88
2010-06-05,170742994.04
2010-06-06,159003962.6
2010-06-07,159818013.01999998
2010-06-08,178058906.62
2010-06-09,179409978.60000002
2010-06-10,180631201.64
2010-06-11,179861568.63000003
2010-06-12,170601301.24000007
2010-06-13,159169757.76999998
2010-06-14,159443086.84
2010-06-15,177992779.29
2010-06-16,176799695.27
2010-06-17,179232776.69000006
2010-06-18,177344038.84000003
2010-06-19,171575872.03999996
2010-06-20,157712449.52
2010-06-21,179937351.14
2010-06-22,181438076.02999994
2010-06-23,181796174.32
2010-06-24,180904636.90999997
2010-06-25,180777713.1
2010-06-26,174013206.21000004
2010-06-27,160230983.05999997
