fecha,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada
2010-01-01,356125.0,102616.66666666667,121611.60714285714,213690.15151515152
2010-01-02,353776.51515151514,102616.66666666667,121633.92857142857,212762.1212121212
2010-01-03,356579.54545454547,102616.66666666667,119455.35714285714,212774.24242424243
2010-01-04,341617.42424242425,102616.66666666667,116611.60714285714,205341.66666666666
2010-01-05,346125.0,102616.66666666667,116613.09523809524,207145.45454545456
2010-01-06,338897.7272727273,104616.66666666667,111611.60714285714,201890.15151515152
2010-01-07,335392.04545454547,104616.66666666667,109104.16666666666,199211.36363636365
2010-01-08,343905.30303030304,105791.66666666666,111769.34523809524,204080.303030303
2010-01-09,339125.0,117200.0,109586.30952380951,202093.9393939394
2010-01-10,332575.75757575757,113066.66666666667,101229.16666666666,194843.9393939394
2010-01-11,339034.0909090909,113066.66666666667,107441.96428571429,200590.15151515152
2010-01-12,334994.3181818182,110666.66666666667,116897.32142857143,203569.696969697
2010-01-13,325534.0909090909,115666.66666666667,116372.0238095238,199972.72727272726
2010-01-14,327435.6060606061,115666.66666666667,111601.19047619049,198304.54545454544
2010-01-15,328715.9090909091,115666.66666666667,111023.80952380951,198522.72727272726
2010-01-16,338500.0,108466.66666666667,111016.36904761905,201778.0303030303
2010-01-17,337678.03030303033,105466.66666666667,117514.88095238095,204484.84848484848
2010-01-18,339821.96969696967,108733.33333333333,115266.36904761905,204494.696969697
2010-01-19,342662.87878787884,106866.66666666667,114163.69047619049,204900.0
2010-01-20,343988.63636363635,110866.66666666667,113815.4761904762,205616.66666666666
2010-01-21,332901.51515151514,106866.66666666667,116514.88095238095,202192.42424242425
2010-01-22,325761.36363636365,104866.66666666667,116555.05952380951,199175.0
2010-01-23,336681.8181818182,99166.66666666667,114269.34523809524,201861.36363636365
2010-01-24,339382.57575757575,99166.66666666667,111913.69047619049,201742.42424242425
2010-01-25,318000.0,103000.0,109683.03571428571,192402.27272727274
2010-01-26,307594.69696969696,104500.0,109626.48809523809,188347.72727272726
2010-01-27,303909.0909090909,103000.0,102968.75,183347.72727272726
2010-01-28,315060.606060606,101166.66666666667,105657.73809523809,189010.60606060608
2010-01-29,320950.75757575757,105000.0,107943.45238095238,192878.7878787879
2010-01-30,301946.96969696967,110000.0,106956.84523809524,185229.54545454544
2010-01-31,307401.51515151514,110000.0,107938.98809523809,187911.36363636365
2010-02-01,347856.0606060606,114000.0,114333.33333333334,207712.1212121212
2010-02-02,333984.84848484845,114000.0,113227.67857142857,201600.75757575757
2010-02-03,332625.0,114000.0,110892.85714285714,199868.18181818182
2010-02-04,329255.6818181818,114000.0,110328.86904761905,198233.33333333334
2010-02-05,341977.2727272727,114000.0,111970.23809523809,204157.57575757575
