fecha,gen_hidraulica,gen_no_termica,gen_termica,generacion
2010-01-01,35796804.67,13362226.83,66260052.96,115419084.46000001
2010-01-02,46595646.989999995,13393741.629999999,67691806.16,127681194.78
2010-01-03,42578875.2,13046074.83,68012828.41,123637778.44
2010-01-04,62242326.79,13160643.95,70554488.25,145957458.99
2010-01-05,69173462.65,14514419.15,68460147.28999999,152148029.09
2010-01-06,69723841.63,14751943.879999999,68450441.25,152926226.76
2010-01-07,72673134.59,15217924.690000001,64157331.38,152048390.66
2010-01-08,73179007.57,13739421.370000001,66883989.620000005,153802418.56
2010-01-09,67593662.09,15079280.06,63824175.04,146497117.19
2010-01-10,54051541.1,14548016.08,61161166.25,129760723.43
2010-01-11,52285897.36,14704539.129999999,64938003.63,131928440.12
2010-01-12,67627176.41,14499110.59,69870535.1,151996822.1
2010-01-13,76215084.13,15023525.89,64780866.4,156019476.42
2010-01-14,77007082.07,15103938.4,65869677.31,157980697.78
2010-01-15,73719181.64999999,15099646.24,69545778.07000001,158364605.96
2010-01-16,69791384.86,14073924.36,66771531.39,150636840.60999998
2010-01-17,52101331.160000004,14153941.15,68926986.17999999,135182258.49
2010-01-18,74016020.5,13879931.74,68526279.19,156422231.43
2010-01-19,79318751.27,14677798.719999999,66045389.96,160041939.95
2010-01-20,80014744.58,14673394.129999999,65868023.03,160556161.74
2010-01-21,76095984.33,14647014.620000001,70547140.98,161290139.93
2010-01-22,76971812.39,14741846.06,69244604.63,160958263.08
2010-01-23,69569648.24000001,14216513.19,69645669.81,153431831.24
2010-01-24,54014433.37,13998295.82,68335418.97,136348148.16
2010-01-25,76453239.76,14681085.56,68079920.16,159214245.48
2010-01-26,76895445.18,14141815.45,68063929.02,159101189.65
2010-01-27,79382827.5,14653674.3,65125333.489999995,159161835.29
2010-01-28,79623134.84,13871888.51,66187654.88,159682678.23
2010-01-29,79345377.86,14079469.21,67635544.19999999,161060391.27
2010-01-30,70196423.94,13060233.09,68524761.19,151781418.22
2010-01-31,57338076.71,12538757.49,66708034.46,136584868.66
2010-02-01,77945978.0,13559209.280000001,67803608.71000001,159308795.99
2010-02-02,80695312.53999999,14529756.85,66970504.88,162195574.27
2010-02-03,88411682.12,14640655.16,60610976.71,163663313.99
2010-02-04,91215221.83,14789321.620000001,60235102.88,166239646.33
2010-02-05,92811101.17,12338939.620000001,60711012.86,165861053.65
2010-02-06,77420955.27,13018866.870000001,64657946.589999996,155097768.73
2010-02-07,63483139.27,12739386.98,60186893.47,136409419.72
2010-02-08,77765411.99,14648787.969999999,69056976.58,161471176.54
2010-02-09,79138348.71000001,14293522.04,68083914.91,161515785.66
2010-02-10,80437778.58,14323017.68,66382756.93,161143553.19
2010-02-11,81649963.67999999,13719070.74,66160353.76,161529388.18
2010-02-12,81466466.01,13623270.73,66844200.0,161933936.74
2010-02-13,81568839.69,8225683.08,63359716.68,153154239.45
2010-02-14,75651118.17,5472601.72,55308182.65,136431902.54
2010-02-15,87037075.55,10585128.92,61298936.55,158921141.02
2010-02-16,84629055.85,14217856.43,62841650.66,161688562.94
2010-02-17,86890541.28999999,14510209.52,62556278.309999995,163957029.12
2010-02-18,89788074.98,14336696.26,60292767.3,164417538.54
2010-02-19,90627416.85,15248071.61,58983438.14,164858926.6
2010-02-20,81373100.03999999,15169631.8,58826100.39,155368832.23
2010-02-21,65389661.61,14668813.120000001,57969041.56,138027516.29
2010-02-22,81463735.25,15286934.75,67029098.48,163779768.48
2010-02-23,85640769.32,15137975.629999999,62272246.839999996,163050991.79
2010-02-24,84183506.22,15402911.18,62716037.29,162302454.69
2010-02-25,85468031.5,15494674.93,60266092.22,161228798.65
2010-02-26,82466716.36,14663299.18,62767775.28,159897790.82
2010-02-27,73233736.5,15575222.25,62744923.93,151553882.68
2010-02-28,59917884.13,14003465.99,61583645.01,135504995.13
2010-03-01,79929970.7,14811960.94,64071289.47,158813221.11
2010-03-02,86927841.79,15870248.17,59313655.13,162111745.09
2010-03-03,89283679.76,14283234.03,57506254.82,161073168.61
2010-03-04,83401111.97,14120539.82,63710500.73,161232152.52
2010-03-05,84824571.47,13555798.71,63166890.13,161547260.31
2010-03-06,83930930.25,12035602.84,57008058.699999996,152974591.79
2010-03-07,62460505.52,12900285.14,60041701.83,135402492.49
2010-03-08,81244915.09,13754080.370000001,62719801.64,157718797.1
2010-03-09,82617183.86,13813811.9,64930659.480000004,161361655.24
2010-03-10,92135433.31,10437757.85,62470538.75,165043729.91
2010-03-11,89507889.73,13890871.23,60239392.31,163638153.27
2010-03-12,92245338.93,14356878.6,58127423.11,164729640.64000002
2010-03-13,81857879.87,14237941.95,59599865.03,155695686.85
2010-03-14,62592342.06,13472640.01,60064932.37,136129914.44
2010-03-15,94466388.66,10990723.49,57199981.660000004,162657093.81
2010-03-16,98340003.95,12878451.879999999,54272678.07,165491133.9
2010-03-17,95926128.42999999,13242080.68,52828788.44,161996997.55
2010-03-18,91983292.57,13133716.06,55343761.97,160460770.6
2010-03-19,95026496.4,14763488.21,54304783.18,164094767.79
2010-03-20,87642041.61,15015424.629999999,53182562.489999995,155840028.73
2010-03-21,74738769.8,15972151.07,48492550.93,139203471.8
2010-03-22,75515870.96,13303124.66,52500479.59,141319475.21
2010-03-23,96316841.03999999,13415681.780000001,53322536.17,163055058.99
2010-03-24,98409557.19,13411811.780000001,54241831.66,166063200.63
2010-03-25,96001432.72,13382886.55,57397873.0,166782192.27
2010-03-26,100221837.8,9696461.85,56850623.11,166768922.76
2010-03-27,94101361.78999999,9486964.21,54762778.51,158351104.51
2010-03-28,81139837.98,4349486.64,55012302.75,140501627.37
2010-03-29,105657367.27,2803069.01,52689262.5,161149698.78
2010-03-30,105228928.4,5057516.55,50921780.839999996,161208225.79
2010-03-31,95229985.86,4619336.76,55560185.2,155409507.82
2010-04-01,57482833.04,8444842.879999999,64364697.57,130292373.49
2010-04-02,45571402.58,12392405.01,64528879.09,122492686.68
2010-04-03,55912930.7,14544906.18,65018772.190000005,135476609.07
2010-04-04,52938290.06,16130689.7,62607488.190000005,131676467.95
2010-04-05,85130033.28,13991485.23,57956163.9,157077682.41
2010-04-06,90161640.25,12007552.4,57199671.6,159368864.25
2010-04-07,95473998.60000001,8590911.75,56339015.43,160403925.78
2010-04-08,92555704.21,9547321.3,56701685.82,158804711.33
2010-04-09,94427980.57,10690177.59,55199962.7,160318120.86
2010-04-10,84288815.74,11558692.35,55782401.580000006,151629909.67000002
2010-04-11,60649011.03,17256610.16,57542995.57,135448616.76
2010-04-12,81431291.16,16628638.54,58399394.699999996,156459324.4
2010-04-13,86417766.44,16934994.81,56313544.98,159666306.23
2010-04-14,82812497.1,16122898.21,59031180.61,157966575.92000002
2010-04-15,84004148.37,16637618.9,58557753.87,159199521.14
2010-04-16,86459925.1,17137258.82,56711845.35,160309029.27
2010-04-17,77951622.81,16599627.14,57558393.62,152109643.57
2010-04-18,62310741.26,15431432.23,58791155.32,136533328.81
2010-04-19,105425066.19,6612472.32,47816923.11,159854461.62
2010-04-20,108556340.73,6423507.73,46023525.14,161003373.6
2010-04-21,108295698.8,6232945.21,48349983.65,162878627.66
2010-04-22,113358809.94,6262417.75,45928478.6,165549706.29
2010-04-23,115327657.9,6048265.3,45356552.46,166732475.66
