codigo_recurso,tipo_generacion,combustible,estado
2QBW,HIDRAULICA,AGUA,OPERACION
2QEK,HIDRAULICA,AGUA,OPERACION
2QRL,HIDRAULICA,AGUA,OPERACION
2QV2,HIDRAULICA,AGUA,OPERACION
2R22,HIDRAULICA,AGUA,OPERACION
2S6Q,TERMICA,BIOGAS,OPERACION
2S6S,TERMICA,CARBON,OPERACION
2S6U,HIDRAULICA,AGUA,OPERACION
2S78,HIDRAULICA,AGUA,OPERACION
2S8G,TERMICA,CARBON,PRUEBAS
2S8I,TERMICA,GAS,OPERACION
2S8N,HIDRAULICA,AGUA,OPERACION
2S8S,TERMICA,BIOGAS,OPERACION
2S8U,HIDRAULICA,AGUA,OPERACION
2S9L,HIDRAULICA,AGUA,OPERACION
2S9Q,TERMICA,BIOGAS,OPERACION
2SDR,HIDRAULICA,AGUA,OPERACION
2SI1,HIDRAULICA,AGUA,OPERACION
2SS2,HIDRAULICA,AGUA,OPERACION
2SW1,HIDRAULICA,AGUA,OPERACION
2SXQ,COGENERADOR,BAGAZO,OPERACION
2T1L,HIDRAULICA,AGUA,OPERACION
2T4P,HIDRAULICA,AGUA,OPERACION
2T7D,HIDRAULICA,AGUA,OPERACION
2TUT,HIDRAULICA,AGUA,OPERACION
2TUV,HIDRAULICA,AGUA,OPERACION
2TYI,SOLAR,RAD SOLAR,OPERACION
2U1G,HIDRAULICA,AGUA,OPERACION
2U5P,TERMICA,CARBON,OPERACION
2U8Y,TERMICA,GAS,OPERACION
2U91,TERMICA,GAS,OPERACION
2U93,TERMICA,GAS,OPERACION
2UP2,COGENERADOR,BAGAZO,OPERACION
2UPD,HIDRAULICA,AGUA,OPERACION
2UPF,HIDRAULICA,AGUA,OPERACION
2UPH,HIDRAULICA,AGUA,OPERACION
2UPJ,HIDRAULICA,AGUA,OPERACION
2UR5,HIDRAULICA,AGUA,OPERACION
2UX3,HIDRAULICA,AGUA,OPERACION
2V25,TERMICA,CARBON,OPERACION
2V27,TERMICA,GAS,OPERACION
2V5G,HIDRAULICA,AGUA,OPERACION
2VJS,SOLAR,RAD SOLAR,OPERACION
2WC5,HIDRAULICA,AGUA,OPERACION
2WFN,TERMICA,GAS,OPERACION
2XXR,TERMICA,GAS,OPERACION
2YB9,TERMICA,GAS,PRUEBAS
2YIR,HIDRAULICA,AGUA,OPERACION
2YMA,SOLAR,RAD SOLAR,OPERACION
2YNA,HIDRAULICA,AGUA,OPERACION
2YQM,SOLAR,RAD SOLAR,OPERACION
2YWY,TERMICA,GAS,OPERACION
2Z66,SOLAR,RAD SOLAR,OPERACION
2ZCF,HIDRAULICA,AGUA,OPERACION
2ZHY,SOLAR,RAD SOLAR,OPERACION
2ZJT,SOLAR,RAD SOLAR,OPERACION
2ZM3,SOLAR,RAD SOLAR,OPERACION
2ZMH,SOLAR,RAD SOLAR,OPERACION
2ZMJ,SOLAR,RAD SOLAR,OPERACION
2ZML,SOLAR,RAD SOLAR,OPERACION
2ZP9,SOLAR,RAD SOLAR,OPERACION
2ZS3,SOLAR,RAD SOLAR,OPERACION
2ZXL,SOLAR,RAD SOLAR,OPERACION
2ZXN,SOLAR,RAD SOLAR,OPERACION
3A44,SOLAR,RAD SOLAR,OPERACION
3A45,SOLAR,RAD SOLAR,OPERACION
3A47,SOLAR,RAD SOLAR,OPERACION
3A4R,SOLAR,RAD SOLAR,OPERACION
3A7F,SOLAR,RAD SOLAR,OPERACION
3AB6,SOLAR,RAD SOLAR,OPERACION
3AB8,SOLAR,RAD SOLAR,OPERACION
3ACC,SOLAR,RAD SOLAR,OPERACION
3ADA,TERMICA,BIOGAS,OPERACION
3AFQ,HIDRAULICA,AGUA,OPERACION
3AL4,SOLAR,RAD SOLAR,OPERACION
3AL6,TERMICA,BIOGAS,OPERACION
3ANH,SOLAR,RAD SOLAR,OPERACION
3AOY,SOLAR,RAD SOLAR,OPERACION
3AQP,HIDRAULICA,AGUA,OPERACION
3AR2,SOLAR,RAD SOLAR,OPERACION
3AWC,SOLAR,RAD SOLAR,OPERACION
3AXV,TERMICA,BAGAZO,OPERACION
3B4G,SOLAR,RAD SOLAR,OPERACION
3B4L,SOLAR,RAD SOLAR,OPERACION
3BCM,SOLAR,RAD SOLAR,OPERACION
3BCR,SOLAR,RAD SOLAR,OPERACION
3BFL,SOLAR,RAD SOLAR,OPERACION
3BFN,SOLAR,RAD SOLAR,OPERACION
3BJG,SOLAR,RAD SOLAR,OPERACION
3BJN,SOLAR,RAD SOLAR,OPERACION
3BJP,SOLAR,RAD SOLAR,OPERACION
3BJR,SOLAR,RAD SOLAR,OPERACION
