fecha,ventas_bolsa
2010-01-01,44877553.690000005
2010-01-02,43958164.96
2010-01-03,53146284.870000005
2010-01-04,46759694.44
2010-01-05,47302938.66
2010-01-06,51148768.440000005
2010-01-07,53074971.99000001
2010-01-08,54836075.499999985
2010-01-09,63754834.47
2010-01-10,49178046.05
2010-01-11,49976865.53
2010-01-12,54206564.910000004
2010-01-13,53562531.86
2010-01-14,49219401.99000002
2010-01-15,48807435.089999996
2010-01-16,49318705.6
2010-01-17,43024279.25
2010-01-18,55653766.81999999
2010-01-19,51987949.559999995
2010-01-20,49985712.039999984
2010-01-21,62827645.580000006
2010-01-22,55669947.29000001
2010-01-23,58625754.72
2010-01-24,44128225.92
2010-01-25,45923979.29
2010-01-26,49371842.99
2010-01-27,49752071.04
2010-01-28,53889332.49999999
2010-01-29,51520151.67999999
2010-01-30,51138285.34999999
2010-01-31,42137826.75000001
2010-02-01,53743512.489999995
2010-02-02,53668506.03
2010-02-03,55820825.349999994
2010-02-04,62764757.25999999
2010-02-05,57008412.190000005
2010-02-06,56609788.6
2010-02-07,52627556.22999999
2010-02-08,52807557.3
2010-02-09,50823137.42000001
2010-02-10,48679913.29000001
2010-02-11,45399707.1
2010-02-12,46855763.97
2010-02-13,47854608.24
2010-02-14,44756986.91
2010-02-15,53783363.93
2010-02-16,49787488.85999999
2010-02-17,65541419.970000006
2010-02-18,56255726.89
2010-02-19,52689520.50999999
2010-02-20,56341769.309999995
2010-02-21,52723918.5
2010-02-22,57297427.300000004
2010-02-23,55610509.03000001
2010-02-24,52583312.620000005
2010-02-25,57860737.059999995
2010-02-26,55687027.69999999
2010-02-27,62976551.15
2010-02-28,60463094.70999999
2010-03-01,54959307.66000002
2010-03-02,51638883.93
2010-03-03,54035743.610000014
2010-03-04,59658884.50000001
2010-03-05,57270253.49000001
2010-03-06,55863944.67
2010-03-07,54466554.48999999
2010-03-08,57402147.26
2010-03-09,49625342.70000001
2010-03-10,52815861.08999998
2010-03-11,51514712.720000006
2010-03-12,67896449.77999999
2010-03-13,63334271.2
2010-03-14,47275978.919999994
2010-03-15,58510739.53000001
2010-03-16,50190971.809999995
2010-03-17,48174151.300000004
2010-03-18,46323757.38999999
2010-03-19,45954426.330000006
2010-03-20,49151886.32
2010-03-21,44290068.71
2010-03-22,40575550.38999999
2010-03-23,54158706.38
2010-03-24,51592102.78000001
2010-03-25,59367252.98
2010-03-26,56205399.43
2010-03-27,52703955.489999995
2010-03-28,37284336.6
2010-03-29,46316834.45
2010-03-30,47949200.22
2010-03-31,43342362.400000006
2010-04-01,53136681.24999999
2010-04-02,47715133.419999994
2010-04-03,58085979.42
2010-04-04,55459782.500000015
2010-04-05,59909015.61
2010-04-06,58110247.39
2010-04-07,48662113.64
2010-04-08,49510363.58
2010-04-09,64660305.21000001
2010-04-10,60948048.14
2010-04-11,62726622.870000005
2010-04-12,58913461.750000015
2010-04-13,60599680.74999999
2010-04-14,55943659.3
2010-04-15,54687203.55
2010-04-16,61768994.43
2010-04-17,54414585.24999999
2010-04-18,46696540.41
2010-04-19,53184795.96000001
2010-04-20,58242395.15
2010-04-21,49283301.550000004
2010-04-22,52025971.96
2010-04-23,49650042.56
2010-04-24,50508455.46999999
2010-04-25,37350720.27000001
2010-04-26,54311854.650000006
2010-04-27,55706510.96
2010-04-28,52785473.84000001
2010-04-29,52213347.78
2010-04-30,57749122.830000006
2010-05-01,41847930.10000001
2010-05-02,41458689.79
2010-05-03,58863532.42999999
2010-05-04,42367783.06999999
2010-05-05,42167329.24000001
2010-05-06,38446519.52
2010-05-07,38904837.9
2010-05-08,37805760.54
2010-05-09,35119768.28
2010-05-10,42677289.39000001
2010-05-11,48386986.43999999
2010-05-12,52749351.06
2010-05-13,50347126.45000001
2010-05-14,43701383.83
2010-05-15,44097754.97
2010-05-16,38867302.089999996
2010-05-17,49247784.88
2010-05-18,45552763.31999999
2010-05-19,43911358.339999996
2010-05-20,45075987.54000001
2010-05-21,50585711.05
2010-05-22,43161882.8
2010-05-23,39099836.75
2010-05-24,38793640.419999994
2010-05-25,39766651.28
2010-05-26,39664257.17
2010-05-27,44972263.49
2010-05-28,40440598.72
2010-05-29,36349475.9
2010-05-30,40618338.79000001
2010-05-31,44422761.67999999
2010-06-01,40483713.14000001
2010-06-02,39477962.370000005
2010-06-03,52692814.26000001
2010-06-04,52276449.12
2010-06-05,50740008.96000001
2010-06-06,51085832.559999995
2010-06-07,59652628.860000014
2010-06-08,48586446.25
2010-06-09,47297888.97
2010-06-10,48383378.010000005
2010-06-11,48903194.970000006
2010-06-12,54051712.15
2010-06-13,56923774.28000001
2010-06-14,53428241.64999999
2010-06-15,57063459.89999999
2010-06-16,48766095.88
2010-06-17,49545455.58
2010-06-18,51563369.54999999
2010-06-19,50344553.37
2010-06-20,45710765.51999999
2010-06-21,48493931.85000001
2010-06-22,49234765.51
