fecha,vertimientos
2010-02-15,4259.36888
2010-02-22,636627.26
2010-02-23,722693.38
2010-02-24,842172.72
2010-02-25,832715.44111
2010-02-26,723852.35
2010-02-27,735442.05
2010-02-28,483945.56
2010-03-01,723701.18
2010-03-02,304103.65
2010-03-05,312065.27
2010-03-06,616773.6
2010-03-07,2081560.51
2010-03-08,794045.62
2010-03-10,589164.71825
2010-03-11,591024.31
2010-03-12,586035.7
2010-03-13,220657.81
2010-04-02,235270.91
2010-04-03,348598.02
2010-04-07,2621187.02
2010-04-09,1213542.37
2010-04-10,60316.83
2010-04-11,6452187.55
2010-04-12,7341741.50555
2010-04-13,16168179.61444
2010-04-14,26887404.81666
2010-04-15,20151088.45472
2010-04-16,10447668.23277
2010-04-19,8826644.3325
2010-04-20,12162771.4325
2010-04-21,5810186.17
2010-04-23,18063.94111
2010-04-24,537760.32
2010-04-25,1557256.32
2010-04-26,1670830.08
2010-04-27,2853985.98888
2010-04-28,3120752.15666
2010-04-29,7490646.61
2010-04-30,7900825.5075
2010-05-01,3175822.44027
2010-05-02,1583182.76444
2010-05-03,5964806.38
2010-05-04,12165555.51722
2010-05-05,14778358.55972
2010-05-06,18119249.25055
2010-05-07,6867890.81
2010-05-08,5313327.12
2010-05-09,2311666.81
2010-05-10,517179.84
2010-05-11,7722671.33222
2010-05-12,14446879.946
2010-05-13,7198617.95905
2010-05-14,5491081.71624
2010-05-15,4116743.6235
2010-05-16,1762759.11922
2010-05-17,1157233.44138
2010-05-18,3945427.57
2010-05-19,5741157.33
2010-05-20,7924292.59444
2010-05-21,7566625.38444
2010-05-22,11512599.84777
2010-05-23,17656406.71
2010-05-24,17027564.77
2010-05-25,18727001.25777
2010-05-26,9477916.49
2010-05-27,17523990.87444
2010-05-28,12701657.04777
2010-05-29,6502726.182
2010-05-30,7661066.73
2010-05-31,22947023.3435
2010-06-01,12031167.54415
2010-06-02,15317602.59
2010-06-03,17706697.62
2010-06-04,8508494.97
2010-06-05,5689658.08222
2010-06-06,5253729.20222
2010-06-07,3661377.15555
2010-06-08,448215.3
2010-06-14,649428.48
2010-06-15,130861.39605
2010-06-16,469763.1965
2010-06-17,2026108.19775
2010-06-18,321078.859
2010-06-20,4017342.75
2010-06-21,10576256.32
2010-06-22,9630305.54
2010-06-23,1421703.46
2010-06-25,1823009.42
2010-06-26,429485.82666
2010-06-27,170934.49666
2010-07-02,1446747.29
2010-07-03,2073246.16
2010-07-04,1164865.63
2010-07-05,1262021.69
2010-07-06,1427141.79602
2010-07-07,2899399.66066
2010-07-08,9976581.02955
2010-07-09,31438236.71444
2010-07-10,26699166.696
2010-07-11,23553316.904
2010-07-12,14853277.92044
2010-07-13,11560665.81155
2010-07-14,5443758.13488
2010-07-15,9692885.328
2010-07-16,25165450.506
2010-07-17,31863830.75388
2010-07-18,33754191.53811
2010-07-19,30319803.6515
2010-07-20,24935544.124
2010-07-21,23879967.972
2010-07-22,21474684.16999
2010-07-23,15645804.08399
2010-07-24,10567447.92222
2010-07-25,6403562.56355
2010-07-26,7916520.95
2010-07-27,7418012.68
2010-07-28,4834668.55
2010-07-29,2601887.65
2010-07-30,2420332.48
2010-07-31,2526453.82
2010-08-01,3935055.88
2010-08-02,4401264.16
2010-08-03,3648840.68
2010-08-04,1926006.58
2010-08-05,3381874.46
2010-08-07,1610716.35
2010-08-08,1666548.47
2010-08-10,214570.56
2010-08-11,1143.36
2010-08-12,403271.17
2010-08-13,587194.67
2010-08-14,1093275.52555
2010-08-15,2084688.58444
2010-08-16,2475749.25
2010-08-17,2883645.85
2010-08-18,4433378.4
2010-08-19,2899256.15222
2010-08-20,3400466.88777
2010-08-21,2847728.64
2010-08-22,1048080.0
2010-08-23,1458165.12
2010-08-24,3722665.91222
2010-08-25,5504897.28
2010-08-26,3326034.24
2010-08-27,3069921.6
2010-08-28,6275545.31322
2010-08-29,4360195.47244
2010-08-30,2372853.12
2010-08-31,2862777.93
2010-09-01,7002811.47
2010-09-02,5549558.17222
2010-09-03,3789143.27288
2010-09-04,3860429.486
2010-09-05,4172735.822
2010-09-06,3908185.372
2010-09-07,7326416.816
2010-09-08,10982037.0675
2010-09-09,7133957.77366
2010-09-10,7964418.80921
2010-09-11,3175403.554
2010-09-12,3989597.28
2010-09-13,1013628.55066
2010-09-14,1646152.622
2010-09-15,2891923.42
2010-09-16,2206204.8
2010-09-17,2551952.448
2010-09-18,2173375.18977
2010-09-19,574614.71222
2010-09-20,1077045.12
2010-09-21,1626620.16
2010-09-22,567022.464
2010-09-23,1247068.35599
2010-09-24,1106868.72355
2010-09-25,693553.92
2010-09-26,1892320.512
2010-09-27,3736773.888
2010-09-28,4045160.064
2010-09-29,3802304.14444
2010-09-30,4788320.448
2010-10-01,6374357.504
2010-10-02,6231782.446
2010-10-03,2790466.344
2010-10-04,3660911.04
2010-10-05,11979972.88932
2010-10-06,19136016.01333
2010-10-07,15489873.98422
2010-10-08,23984526.246
2010-10-09,14840102.79643
2010-10-10,7599807.39421
2010-10-11,1090632.35666
2010-10-12,896543.96944
2010-10-13,1578141.60777
2010-10-14,10417205.98777
2010-10-15,12429122.92554
2010-10-16,16180792.15111
2010-10-17,7746472.75444
2010-10-18,2476772.64888
2010-10-19,6033162.15333
2010-10-20,5423315.67111
2010-10-21,2245940.16
2010-10-22,2867763.08
2010-10-23,2026681.91222
2010-10-24,1320059.16777
2010-10-25,1136595.36444
2010-10-26,479341.44
2010-10-27,1537874.47
2010-10-28,9520766.06
2010-10-29,1905067.21222
2010-10-30,3269444.66
2010-10-31,5821815.35222
2010-11-01,3788461.81
2010-11-02,3518499.834
2010-11-03,6410187.16
2010-11-04,5452988.16
2010-11-05,3876729.12777
2010-11-06,4002228.12177
2010-11-07,7037981.68
2010-11-08,13391119.99
2010-11-09,14936350.324
2010-11-10,44599246.89888
2010-11-11,35298270.24005
2010-11-12,29146448.72083
2010-11-13,30314862.52259
2010-11-14,29326822.91533
2010-11-15,30426035.76738
2010-11-16,33397799.992
2010-11-17,47621647.10488
