MetricId,MetricName,Entity,MaxDays,Type,Url,Filter,MetricUnits,MetricDescription
AporEner,Aportes  Energía por Rio,Rio,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Río,kWh,Caudales en energia de los rios que aportan agua a algun embalse del SIN
AporEner,Aportes  Energía por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,kWh,Caudales en energia de los rios que aportan agua a algun embalse del SIN
PorcApor,Aportes % por Rio,Rio,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Río,%,[Aportes Caudal / Media Histórica]*100
PorcApor,Aportes % por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,%,[Aportes Caudal / Media Histórica]*100
AporCaudal,Aportes Caudal por Rio,Rio,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Río,m3/s,"Valores de la hidrologia de los caudales de los rios del SIN, en metros cubicos por segundo"
AporCaudalMediHist,Aportes Media Histórica Caudal por Rio,Rio,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Río,m3/s,"Caudal medio mensual histórico para los rios del SIN, obtenido como el promedio de los valores de cada mes para todos años con información disponibles"
AporEnerMediHist,Aportes Media Histórica Energía por Rio,Rio,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Río,kWh,"Caudal medio mensual histórico en energia para los rios del SIN, obtenido como el promedio de los valores de cada mes para todos años con información disponibles "
AporEnerMediHist,Aportes Media Histórica Energía por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,kWh,"Caudal medio mensual histórico en energia para los rios del SIN, obtenido como el promedio de los valores de cada mes para todos años con información disponibles "
CEE,CEE por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,COP/kWh,"Costo Equivalente de Energia del Cargo por Capacidad se usa para efectos de cotización en la Bolsa de Energía, es una señal de referencia para los agentes generadores del mercado. El propósito de la s"
CERE,CERE por Sistema,Sistema,731,MonthlyEntities,http://servapibi.xm.com.co/monthly,No aplica,COP/kWh,"Costo Equivalente Real de Energia del Cargo por Capacidad se usa para efectos de cotización en la Bolsa de Energía, es una señal de referencia para los agentes generadores del mercado. El propósito de"
