,id,Modelo,Neuronas,LookBack,Elementos,Optimizador,Epocas,BatchSize,MAE,MSE,RMSE,MAPE
1,1,DNN,25,60,30,adam,20,32,0.022561735496027475,0.0007130941214455411,0.02670382222539577,17.605674158929112
2,2,DNN,25,60,30,adam,20,64,0.033924776819503726,0.0015294469840065827,0.039108144727237865,23.212839753759088
3,3,DNN,25,60,30,adam,30,32,0.03133188383759345,0.0012596999713708147,0.03549225227244412,23.838904734529194
4,4,DNN,25,60,30,adam,30,64,0.033834028328122386,0.0014367570780176944,0.03790457858910575,22.881682187701237
5,5,DNN,25,60,30,adam,40,32,0.034451971535545266,0.0015441759939717253,0.039296004809289777,23.974178682662874
6,6,DNN,25,60,30,adam,40,64,0.0365926616159105,0.0018106567813358505,0.042551812903046216,25.354501879331927
7,7,DNN,50,60,30,adam,20,32,0.06971278813443874,0.005422278917464818,0.07363612508453182,46.867677205171056
8,8,DNN,50,60,30,adam,20,64,0.07360198400380508,0.005968763301408228,0.07725777178645672,49.61952734922565
9,9,DNN,50,60,30,adam,30,32,0.03224200961338301,0.0013355586169829263,0.036545295415182054,22.683537487748282
10,10,DNN,50,60,30,adam,30,64,0.04415396871082062,0.0024504779933127987,0.04950230290918594,29.60217623447917
11,11,DNN,50,60,30,adam,40,32,0.05285108414254878,0.0032993063230240347,0.0574395884649606,35.11240085962707
12,12,DNN,50,60,30,adam,40,64,0.046741533497095845,0.0026913634876312527,0.05187835278448279,31.25545980844413
13,13,DNN,100,60,30,adam,20,32,0.049524208500107865,0.0030200531183929248,0.05495500994807411,33.3355906154967
14,14,DNN,100,60,30,adam,20,64,0.04611849368370029,0.0026525728906070297,0.05150313476485708,31.3708895887821
15,15,DNN,100,60,30,adam,30,32,0.0447752614509272,0.002482733056836178,0.04982703138695078,29.787038685767563
16,16,DNN,100,60,30,adam,30,64,0.04197658669861231,0.002173961931915835,0.0466257646791539,28.217112375513192
17,17,DNN,100,60,30,adam,40,32,0.06348781438631111,0.004502943591719464,0.06710397597549242,42.4631176301574
18,18,DNN,100,60,30,adam,40,64,0.05711230786603981,0.0037608247281208625,0.06132556341462231,37.9870446458509
19,19,DNN,25,70,30,adam,20,32,0.04005622410391035,0.0023095918864128842,0.04805821351666002,30.671927801372078
20,20,DNN,25,70,30,adam,20,64,0.04381478333642078,0.0023527882031360195,0.048505548168596334,28.77138406436226
21,21,DNN,25,70,30,adam,30,32,0.040467344409369055,0.0024068275638978913,0.0490594288990189,31.349375513411232
22,22,DNN,25,70,30,adam,30,64,0.03695183922022574,0.0016694154039145462,0.04085848019584853,24.722180601123487
23,23,DNN,25,70,30,adam,40,32,0.03676458402643594,0.001722855085497917,0.041507289546511186,25.171476270315345
24,24,DNN,25,70,30,adam,40,64,0.037438545914192926,0.0017731811696994884,0.04210915778900699,25.587412779930784
25,25,DNN,50,70,30,adam,20,32,0.05209587800716998,0.0034563700972183283,0.05879090148329356,35.14993722284467
26,26,DNN,50,70,30,adam,20,64,0.020775884620325927,0.0006477982606373522,0.02545188127894188,15.610309915282686
27,27,DNN,50,70,30,adam,30,32,0.04553879241990432,0.0027415527378965338,0.05235983897890189,30.60891889397964
28,28,DNN,50,70,30,adam,30,64,0.03450701451149966,0.001593380612167442,0.03991717189590768,23.448568644281266
29,29,DNN,50,70,30,adam,40,32,0.0520205860531558,0.0032994798918738757,0.05744109932682239,34.86606383101429
30,30,DNN,50,70,30,adam,40,64,0.05307512732309395,0.0032011806895131103,0.05657897745199281,35.20986757393237
31,31,DNN,100,70,30,adam,20,32,0.07184312246205703,0.00584689195061019,0.07646497205001902,48.385757070470994
32,32,DNN,100,70,30,adam,20,64,0.07905432732862527,0.006800866970041572,0.0824673691228329,53.47740241332885
33,33,DNN,100,70,30,adam,30,32,0.0696432118809451,0.005526356737441217,0.0743394695800368,46.84921272288721
34,34,DNN,100,70,30,adam,30,64,0.08014219641151324,0.006968529219296915,0.08347771690275745,54.24713805869391
35,35,DNN,100,70,30,adam,40,32,0.07304428432844376,0.005803746922997848,0.07618232684158346,49.224919830465666
36,36,DNN,100,70,30,adam,40,64,0.08011553711655035,0.0069344936352525146,0.08327360707482602,54.22827493450367
37,37,DNN,25,80,30,adam,20,32,0.05959591619136228,0.004253958683611625,0.06522237870249463,39.84995971171759
38,38,DNN,25,80,30,adam,20,64,0.05535198108122608,0.003921192609716525,0.06261942677569418,37.17541716238122
39,39,DNN,25,80,30,adam,30,32,0.05738990979355865,0.003953894313977307,0.0628799993159773,38.326937271045566
40,40,DNN,25,80,30,adam,30,64,0.05632801902256701,0.0039588665038542475,0.0629195240275564,37.74594544233181
41,41,DNN,25,80,30,adam,40,32,0.06657541594865217,0.005006492366602504,0.07075657119026121,44.647789497942696
42,42,DNN,25,80,30,adam,40,64,0.06528516016366376,0.004749564326574474,0.06891708298074196,43.73485256006456
43,43,DNN,50,80,30,adam,20,32,0.042713592824047394,0.002241488338027031,0.04734435909405714,27.939498356892567
44,44,DNN,50,80,30,adam,20,64,0.03645528627806965,0.0017170103662292242,0.041436823795136905,24.41142884051199
45,45,DNN,50,80,30,adam,30,32,0.03767432180931703,0.0020945937740794642,0.04576673217610652,27.365814399904075
46,46,DNN,50,80,30,adam,30,64,0.03670134744012944,0.0023085889496412457,0.04804777778046812,28.327269848656993
47,47,DNN,50,80,30,adam,40,32,0.038158207222921854,0.0018811730631789734,0.043372492010247385,25.139224442768487
48,48,DNN,50,80,30,adam,40,64,0.03465282230089427,0.001596199436386736,0.0399524647097865,22.661973025239813
49,49,DNN,100,80,30,adam,20,32,0.07968179237805104,0.006855409685653899,0.08279740144264129,53.921373312365326
50,50,DNN,100,80,30,adam,20,64,0.08205712985954976,0.007210527842090248,0.08491482698616448,55.6020736448239
51,51,DNN,100,80,30,adam,30,32,0.08303299411597148,0.007396547025176805,0.08600318032013005,56.29255884660146
52,52,DNN,100,80,30,adam,30,64,0.06552896824441645,0.0047244814142635375,0.06873486316465276,43.91924300632297
53,53,DNN,100,80,30,adam,40,32,0.06348206477326447,0.004363859924551214,0.06605951804661622,42.46099320475282
54,54,DNN,100,80,30,adam,40,64,0.0572764033025731,0.0035815426707331,0.059845991267027235,38.09210705997251
