,id,Modelo,Neuronas,LookBack,Elementos,Optimizador,Epocas,BatchSize,MAE,MSE,RMSE,MAPE
1,1,RNN,25,60,30,adam,20,32,0.02455444444865978,0.0008498781755022837,0.02915267012646155,18.3521248867075
2,2,RNN,25,60,30,adam,20,64,0.029242808870851327,0.001128116127705155,0.033587440029051854,20.785943668459815
3,3,RNN,25,60,30,adam,30,32,0.015167679535576918,0.00030986688815132864,0.017603036333295703,16.99517021454585
4,4,RNN,25,60,30,adam,30,64,0.018393431088729973,0.0004320314363480809,0.02078536591807036,17.18914908745548
5,5,RNN,25,60,30,adam,40,32,0.017185450275614977,0.0004769182016966628,0.0218384569440394,19.876317848475328
6,6,RNN,25,60,30,adam,40,64,0.018573900736430483,0.00047945883946141714,0.021896548574179837,18.112625122393695
7,7,RNN,50,60,30,adam,20,32,0.024248755587315304,0.0007658630140331743,0.027674230143459714,18.143062965661354
8,8,RNN,50,60,30,adam,20,64,0.018166294160148224,0.00043952303962711646,0.020964804783901912,16.877591792648698
9,9,RNN,50,60,30,adam,30,32,0.017249907590017505,0.0004473349630527148,0.021150294632763744,19.256842518771442
10,10,RNN,50,60,30,adam,30,64,0.025117058765747456,0.0008137385979836655,0.028526103799566906,19.671654748748228
11,11,RNN,50,60,30,adam,40,32,0.01789881463549464,0.00048197234482584805,0.021953868561732988,19.266505596395795
12,12,RNN,50,60,30,adam,40,64,0.015210255018610402,0.0003244863428424044,0.018013504457556402,17.53815065563604
13,13,RNN,100,60,30,adam,20,32,0.01762588561035848,0.0004230176914106482,0.020567393889616842,16.125115852654865
14,14,RNN,100,60,30,adam,20,64,0.012676295622749903,0.00033260255078495767,0.018237394298116102,17.810517775059196
15,15,RNN,100,60,30,adam,30,32,0.019573662433285642,0.0005857332648980498,0.024201926883991073,17.16321204513982
16,16,RNN,100,60,30,adam,30,64,0.016029797114957788,0.00040333142901705923,0.02008311303102831,19.640802054958566
17,17,RNN,100,60,30,adam,40,32,0.028406001145273075,0.001072002039335171,0.032741442230530576,25.83447060232248
18,18,RNN,100,60,30,adam,40,64,0.02449936162891629,0.0008262727318627571,0.02874496011238765,23.33407508196233
19,19,RNN,25,70,30,adam,20,32,0.04438552262348228,0.0023377213081338228,0.04834998767459846,30.93867808968446
20,20,RNN,25,70,30,adam,20,64,0.04389480602703784,0.002319450679642379,0.04816067565599946,31.47601998344141
21,21,RNN,25,70,30,adam,30,32,0.02158703979280702,0.0007240275919100682,0.026907760811893437,19.65281272354276
22,22,RNN,25,70,30,adam,30,64,0.02403196545889963,0.0008423187788502498,0.029022728659625543,20.59900381507328
23,23,RNN,25,70,30,adam,40,32,0.04442758760812177,0.002338867725558671,0.04836184162703764,29.774932462477143
24,24,RNN,25,70,30,adam,40,64,0.019767505338906848,0.0005858014839470402,0.024203336215221243,18.621449184975315
25,25,RNN,50,70,30,adam,20,32,0.021566761481942136,0.0006085565607883218,0.024668939190575702,16.384556667315977
26,26,RNN,50,70,30,adam,20,64,0.017624281157255752,0.00042627720150117493,0.020646481576800803,16.55713887246163
27,27,RNN,50,70,30,adam,30,32,0.028540498926178152,0.0009910313990941473,0.03148065118599276,21.04576466717001
28,28,RNN,50,70,30,adam,30,64,0.018473053649618036,0.0004185129697187193,0.020457589538328293,17.876357467453325
29,29,RNN,50,70,30,adam,40,32,0.02636119213047956,0.0008025317235571459,0.02832899086725727,19.66307853929525
30,30,RNN,50,70,30,adam,40,64,0.012702978741871809,0.0002828779967475354,0.01681897728007073,16.788499358438735
31,31,RNN,100,70,30,adam,20,32,0.04494496089182589,0.002408295629249146,0.04907438873026485,29.860681867195048
32,32,RNN,100,70,30,adam,20,64,0.03254260690223765,0.0013906373376902515,0.03729125014920057,22.705499235336127
33,33,RNN,100,70,30,adam,30,32,0.021992917638521254,0.0006148338852178988,0.024795844111824443,18.609645750206667
34,34,RNN,100,70,30,adam,30,64,0.01866870248679873,0.0004513860360445143,0.021245847501206307,19.303366189777094
35,35,RNN,100,70,30,adam,40,32,0.01613714467528145,0.0004174406492684277,0.020431364351614596,19.50073609192883
36,36,RNN,100,70,30,adam,40,64,0.015847796334322935,0.00037129960572824215,0.019269136091902048,20.112447800722137
37,37,RNN,25,80,30,adam,20,32,0.02010563515467215,0.0005133794314853736,0.022657877912226766,18.09600034651199
38,38,RNN,25,80,30,adam,20,64,0.02814606215897535,0.0009681744473070072,0.03111550172031631,20.880888264966693
39,39,RNN,25,80,30,adam,30,32,0.015833511643497764,0.0003584656847537711,0.018933190031100704,16.71302450237476
40,40,RNN,25,80,30,adam,30,64,0.015315904669973263,0.0003881057174359137,0.019700398915654314,17.82422092354798
41,41,RNN,25,80,30,adam,40,32,0.014125628937845382,0.00029595247294405755,0.017203269251629398,17.238770114271947
42,42,RNN,25,80,30,adam,40,64,0.018491202460598426,0.0005177008876287275,0.022753041283062086,17.729529396937245
43,43,RNN,50,80,30,adam,20,32,0.05417844530902598,0.003401555029871857,0.05832285169529913,36.130487343575545
44,44,RNN,50,80,30,adam,20,64,0.03896421732377274,0.001874335120485938,0.043293592141169554,26.885324825258678
45,45,RNN,50,80,30,adam,30,32,0.019293216385013214,0.0005554984429109968,0.023569014466264745,18.41179389289115
46,46,RNN,50,80,30,adam,30,64,0.031111825673493385,0.0012182395243886472,0.034903288160123926,21.811404181032238
47,47,RNN,50,80,30,adam,40,32,0.0174360632226474,0.0004562225627519986,0.021359367096241373,17.466276025328618
48,48,RNN,50,80,30,adam,40,64,0.020081324242726704,0.000553416665234962,0.023524809568516426,17.49344383715139
49,49,RNN,100,80,30,adam,20,32,0.03415116297167831,0.001484156299928323,0.03852474918709171,24.666020174765755
50,50,RNN,100,80,30,adam,20,64,0.017118991985171594,0.00043321511976096686,0.0208138204028229,19.29134139242289
51,51,RNN,100,80,30,adam,30,32,0.01958995639175211,0.0004899143385520436,0.022134008641726956,18.96033398613887
52,52,RNN,100,80,30,adam,30,64,0.02637324564549315,0.0009398110708597,0.03065633818412923,20.92600107139609
53,53,RNN,100,80,30,adam,40,32,0.014685670156702307,0.00034588437561777584,0.01859796697539212,16.794439158704925
54,54,RNN,100,80,30,adam,40,64,0.016496741140529278,0.0004092783653133494,0.020230629385003064,18.20606304935549
