,id,Modelo,Neuronas,LookBack,Elementos,Optimizador,Epocas,BatchSize,MAE,MSE,RMSE,MAPE
1,1,LSTM,25,60,30,adam,20,32,0.02270934982941594,0.00080427958840257,0.02835982349032818,22.03586394478759
2,2,LSTM,25,60,30,adam,20,64,0.046064692219472986,0.00239944943084382,0.048984175310438985,35.68053647145403
3,3,LSTM,25,60,30,adam,30,32,0.0337896292213371,0.001461660492692381,0.03823166871446211,29.124652107258825
4,4,LSTM,25,60,30,adam,30,64,0.023293220967086792,0.0008942651247151682,0.029904265995258406,24.449161677491542
5,5,LSTM,25,60,30,adam,40,32,0.013879896940829226,0.0003243550974880375,0.018009861117955283,17.059864093673898
6,6,LSTM,25,60,30,adam,40,64,0.04603856054979271,0.00250005839279144,0.05000058392450472,36.60797716742788
7,7,LSTM,50,60,30,adam,20,32,0.018850114641767144,0.000484797715939105,0.022018122443548747,16.09313401171329
8,8,LSTM,50,60,30,adam,20,64,0.017047261570930193,0.0004999586280062592,0.022359754649956674,18.91686395362665
9,9,LSTM,50,60,30,adam,30,32,0.013923891316029993,0.00036814592262679084,0.019187129087666836,17.56416397905238
10,10,LSTM,50,60,30,adam,30,64,0.01670766935215855,0.0005265210469369029,0.02294604643368663,19.059383055549773
11,11,LSTM,50,60,30,adam,40,32,0.01373467146559742,0.00032354370163409054,0.017987320579621928,16.464371328929257
12,12,LSTM,50,60,30,adam,40,64,0.03467550474442747,0.0016131042534123408,0.04016346914065493,30.109346332682435
13,13,LSTM,100,60,30,adam,20,32,0.04828790821669207,0.0027074006821592206,0.05203268859245331,37.32092942406858
14,14,LSTM,100,60,30,adam,20,64,0.04053045807319587,0.0020044448330558207,0.044771026714336366,32.594738972224185
15,15,LSTM,100,60,30,adam,30,32,0.02531219126247329,0.0009123036295793513,0.03020436441276908,23.73228087920067
16,16,LSTM,100,60,30,adam,30,64,0.049420841018733445,0.002811171154477667,0.05302047863304958,38.21671786008539
17,17,LSTM,100,60,30,adam,40,32,0.0572776247862747,0.003788526658194346,0.06155100858795367,43.76099585521743
18,18,LSTM,100,60,30,adam,40,64,0.05444705484348244,0.0034031593911876203,0.058336604213714914,41.68776807502109
19,19,LSTM,25,70,30,adam,20,32,0.016421133558898512,0.0004045848520117905,0.020114294718229384,15.4216387106544
20,20,LSTM,25,70,30,adam,20,64,0.015002036121663015,0.00036139498951475417,0.01901039161918434,16.088172387201244
21,21,LSTM,25,70,30,adam,30,32,0.0411263912721247,0.002020101023016729,0.04494553396074775,32.845993857299554
22,22,LSTM,25,70,30,adam,30,64,0.035902812560773954,0.0015948530201905667,0.03993561092797463,29.469980781107996
23,23,LSTM,25,70,30,adam,40,32,0.021331994343461527,0.0007690358084218104,0.027731494882566474,22.325066586666214
24,24,LSTM,25,70,30,adam,40,64,0.03144170888302432,0.0013527011578114247,0.036779085875146826,28.039003087311038
25,25,LSTM,50,70,30,adam,20,32,0.03332630095916695,0.0013888057117345247,0.03726668366966029,27.94200738413665
26,26,LSTM,50,70,30,adam,20,64,0.06981659927008257,0.005138748660239343,0.07168506581038579,51.881530439684695
27,27,LSTM,50,70,30,adam,30,32,0.08093627093273108,0.006809753177418463,0.08252122864704853,59.72713659933607
28,28,LSTM,50,70,30,adam,30,64,0.07134907790062534,0.005397869898307236,0.0734701973476813,52.95397562814975
29,29,LSTM,50,70,30,adam,40,32,0.09318762817022905,0.008979756804570468,0.09476157873616536,68.39459014563516
30,30,LSTM,50,70,30,adam,40,64,0.06218020417330371,0.004202466248650542,0.06482643171307936,46.568330657262315
31,31,LSTM,100,70,30,adam,20,32,0.015551346689169816,0.0004212962500692566,0.020525502431591208,17.95578990824796
32,32,LSTM,100,70,30,adam,20,64,0.028709536805381006,0.0011458905314703713,0.03385100488124941,25.539412702536218
33,33,LSTM,100,70,30,adam,30,32,0.036800574740148646,0.0017590648380365127,0.04194120692155285,31.322869863091523
34,34,LSTM,100,70,30,adam,30,64,0.0537098000252019,0.0033083859648287057,0.057518570608358355,41.30000887438983
35,35,LSTM,100,70,30,adam,40,32,0.05512171733416822,0.003507694360884982,0.059225791348744186,42.51523629399602
36,36,LSTM,100,70,30,adam,40,64,0.04329328336355791,0.0022703408288447424,0.04764809365383617,34.78778762221774
37,37,LSTM,25,80,30,adam,20,32,0.02195740718529559,0.0007362546692090936,0.027134013142347625,20.48719893418571
38,38,LSTM,25,80,30,adam,20,64,0.02442968240840199,0.0008554601841110904,0.029248250958152873,22.250038523389524
39,39,LSTM,25,80,30,adam,30,32,0.025469887271155543,0.000909274418311546,0.030154177460370992,22.54017785314182
40,40,LSTM,25,80,30,adam,30,64,0.03170788339240315,0.0013003655545061816,0.03606058172722927,26.62651587720258
41,41,LSTM,25,80,30,adam,40,32,0.02892867824895146,0.0011205776341975675,0.033475030010405776,24.691387107929287
42,42,LSTM,25,80,30,adam,40,64,0.04625981944836881,0.0024869258493787137,0.04986908711194455,35.88174152898498
43,43,LSTM,50,80,30,adam,20,32,0.03651911266682253,0.001674963136062572,0.04092631349220904,30.57691127314489
44,44,LSTM,50,80,30,adam,20,64,0.02676187804801228,0.0010267343180714345,0.03204269523731477,24.77611902042743
45,45,LSTM,50,80,30,adam,30,32,0.03425646276735229,0.0015068779544667483,0.038818525918261605,29.05400090917424
46,46,LSTM,50,80,30,adam,30,64,0.024438033531093566,0.0009238901221218061,0.030395560895002515,24.083215002463753
47,47,LSTM,50,80,30,adam,40,32,0.05267361648914919,0.003160895903576361,0.05622184543019164,40.309273318900225
48,48,LSTM,50,80,30,adam,40,64,0.047390118718521855,0.0026467654850096762,0.05144672472577507,37.06878299271554
49,49,LSTM,100,80,30,adam,20,32,0.014056053831615484,0.00033570804375796415,0.018322337289711818,18.53743327512527
50,50,LSTM,100,80,30,adam,20,64,0.029143042842921678,0.0010826585246461763,0.03290377675353053,25.753859890092013
51,51,LSTM,100,80,30,adam,30,32,0.018575290156356537,0.0005137629965126973,0.022666340607003534,19.38155177957375
52,52,LSTM,100,80,30,adam,30,64,0.044593006352958146,0.002233918897622251,0.04726435123454305,34.34882031284706
53,53,LSTM,100,80,30,adam,40,32,0.03728163786766635,0.0016716121364304748,0.040885353568612746,30.26810928224367
54,54,LSTM,100,80,30,adam,40,64,0.03432342262529296,0.0014313624278288622,0.037833350734885515,28.071306045945256
