,id,Modelo,Neuronas,LookBack,Elementos,Optimizador,Epocas,BatchSize,MAE,MSE,RMSE,MAPE
1,1,GRU,25,60,30,adam,20,32,0.05245048004426267,0.003164151852089156,0.0562507942351853,39.66898946882168
2,2,GRU,25,60,30,adam,20,64,0.04257199513949659,0.0022295946325923887,0.047218583551313656,32.95084812678863
3,3,GRU,25,60,30,adam,30,32,0.031296684324012024,0.0012975143015789223,0.03602102582629931,25.75544029201221
4,4,GRU,25,60,30,adam,30,64,0.024662803135541655,0.0008568607062411995,0.029272183147848737,21.313091798500743
5,5,GRU,25,60,30,adam,40,32,0.021900763633079905,0.0006764288184250692,0.026008245200802558,20.671334506068384
6,6,GRU,25,60,30,adam,40,64,0.030593752236827882,0.0012071813362635677,0.034744515196841755,25.785139394540302
7,7,GRU,50,60,30,adam,20,32,0.015912596229907167,0.0004043435596346006,0.020108295791404118,17.760268397520132
8,8,GRU,50,60,30,adam,20,64,0.014996965918496991,0.0003555943185200712,0.018857208661943348,17.40428656980898
9,9,GRU,50,60,30,adam,30,32,0.01815190953970276,0.000499285820355,0.022344704526016897,19.230273287516493
10,10,GRU,50,60,30,adam,30,64,0.024665179530760417,0.000842809206403191,0.029031176455720686,23.51329602896842
11,11,GRU,50,60,30,adam,40,32,0.022913821362401766,0.0007908971352959418,0.028122893437481533,23.96435749491597
12,12,GRU,50,60,30,adam,40,64,0.017547836513561607,0.00047180961555086376,0.021721178963188526,20.610611626816944
13,13,GRU,100,60,30,adam,20,32,0.025813369456289714,0.0009197332501833073,0.030327104216909786,21.485447141916435
14,14,GRU,100,60,30,adam,20,64,0.047184749921537504,0.0027112368942297533,0.05206953902455593,36.328799914826924
15,15,GRU,100,60,30,adam,30,32,0.04015227752961423,0.0019307263337544607,0.04394003110780033,31.74059524555193
16,16,GRU,100,60,30,adam,30,64,0.02615788730206845,0.0009575513281876548,0.030944326268116662,23.082949713884222
17,17,GRU,100,60,30,adam,40,32,0.028900946194558963,0.0011062266739087702,0.033259986078000243,24.82715910424368
18,18,GRU,100,60,30,adam,40,64,0.017546067922619087,0.0004910979697436281,0.022160730352216013,19.446948297433213
19,19,GRU,25,70,30,adam,20,32,0.031024280508389145,0.0011868719694922976,0.034451008250736256,21.656035138313847
20,20,GRU,25,70,30,adam,20,64,0.025701884994934074,0.0008917918780451124,0.029862884623644656,19.69191806023913
